execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_dfc_1phase_time_ms,umbra_dfc_2phase_time_ms,umbra_logical_time_ms,umbra_time_ms,postgres_dfc_1phase_time_ms,postgres_dfc_2phase_time_ms,postgres_logical_time_ms,postgres_time_ms,datafusion_dfc_1phase_time_ms,datafusion_dfc_2phase_time_ms,datafusion_logical_time_ms,datafusion_time_ms,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_1phase_correctness_error,sqlserver_dfc_1phase_correctness_match,sqlserver_dfc_1phase_error,sqlserver_dfc_1phase_rows,sqlserver_dfc_1phase_time_ms,sqlserver_dfc_2phase_correctness_error,sqlserver_dfc_2phase_correctness_match,sqlserver_dfc_2phase_error,sqlserver_dfc_2phase_rows,sqlserver_dfc_2phase_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms
18,2026-02-16T02:12:08.240280,816.1846280563623,,,True,,19.2443341948092,2.894083969295025,5,22.138418164104223,,33.90583395957947,2.920874860137701,5,36.82670881971717,,37.79962519183755,4.770792089402676,5,42.570417281240225,,23.10487488284707,5,23.10487488284707,q05,5,1.0,16.961416928097606,23.166707949712873,24.41254211589694,64.15437487885356,313.3119170088321,621.646499959752,588.595958892256,757.6915000099689,628.6814589984715,1193.0738328956068,2820.681834127754,604.6646249014884,,True,,True,,5,714.3424171954393,,True,,5,1333.517249673605,,,True,,5,1235.1677920669315,5,630.2185826934874
19,2026-02-16T02:12:10.880515,749.257791088894,,,True,,19.115624949336052,3.344707889482379,5,22.46033283881843,,36.39025008305907,3.0916251707822084,5,39.48187525384128,,37.33708383515477,4.638415994122624,5,41.97549982927739,,22.36270811408758,5,22.36270811408758,q05,5,1.0,13.673792127519846,19.222917035222057,23.584125097841024,52.123833913356066,301.2719589751214,645.4033330082893,596.3851660490036,752.3431659210473,674.3296671193093,1246.2991250213236,3387.8701669164,611.941791838035,,True,,True,,5,672.1685002557933,,True,,5,1274.2159999907017,,,True,,5,1330.8455417864025,5,698.138415813446
20,2026-02-16T02:12:13.541530,743.6337089166045,,,True,,19.18279193341732,2.0260841120034456,5,21.20887604542077,,32.41587500087917,3.889666870236397,5,36.305541871115565,,38.905957946553826,4.61412500590086,5,43.520082952454686,,19.48279095813632,5,19.48279095813632,q05,5,1.0,17.01587508432567,17.84125017002225,24.896542076021433,70.14049985446036,258.8352500461042,452.7609169017523,523.8927500322461,694.1390840802342,1115.148917073384,1503.299375064671,4150.897582992911,958.6640000343324,,True,,True,,5,719.7447079233825,,True,,5,1253.7229997105896,,,True,,5,1275.0711250118911,5,703.8410003297031
21,2026-02-16T02:12:22.145289,800.9641661774367,,,True,,5.711749894544482,1.6697500832378864,1,7.381499977782369,,9.48799983598292,2.0287081133574247,1,11.516707949340343,,12.2527910862118,3.663791809231043,1,15.916582895442843,,7.245750166475773,1,7.245750166475773,q06,6,1.0,5.715416977182031,7.464083144441247,16.795125091448426,23.342583095654845,346.05812514200807,686.1709160730243,631.9529169704765,607.1773329749703,508.6948338430375,875.7080419454724,747.0540411304682,571.0426250007004,,True,,True,,1,707.2028336115181,,True,,1,1425.741999875754,,,True,,1,1443.9140423201025,1,686.8140832521021
22,2026-02-16T02:12:26.517648,785.9779989812523,,,True,,7.05033284612,1.7089999746531248,1,8.759332820773125,,9.400957962498069,2.186583122238517,1,11.587541084736586,,9.842958068475127,2.70791701041162,1,12.550875078886747,,6.401624996215105,1,6.401624996215105,q06,6,1.0,8.354332996532321,6.3895417843014,8.511708118021488,8.943082997575402,207.63158309273425,418.8229998108,405.1900829654187,212.91904104873535,343.641750048846,629.8164590261877,634.4244999345392,334.72800021991134,,True,,True,,1,693.7625408172607,,True,,1,1335.5899169109762,,,True,,1,1447.6536666043105,1,676.7272502183914
23,2026-02-16T02:12:30.820969,816.9934169854969,,,True,,5.423584021627903,1.488167094066739,1,6.911751115694642,,9.221374988555908,1.7697499133646488,1,10.991124901920555,,9.977958165109158,2.601125044748187,1,12.579083209857345,,6.734082940965891,1,6.734082940965891,q06,6,1.0,6.522167008370161,8.985291002318263,7.844541920349002,7.071542087942362,189.72129095345736,429.97287516482174,590.9465420991182,192.34049995429817,344.7067921515554,702.0456250756979,687.0480419602245,347.73862501606345,,True,,True,,1,717.0696668326855,,True,,1,1433.3232501521709,,,True,,1,1433.8693749159577,1,679.0722501464188
24,2026-02-16T02:12:35.201784,726.2558336369693,,,True,,5.571250105276704,1.794417155906558,1,7.365667261183262,,9.521499974653125,2.352749928832054,1,11.87424990348518,,12.223750120028852,3.5746251232922077,1,15.79837524332106,,6.787916179746389,1,6.787916179746389,q06,6,1.0,7.725749863311648,8.48945789039135,7.563207997009158,14.128291979432106,192.7248751744628,382.7957920730114,372.2605830989778,260.34483313560486,361.9894168805331,656.6145420074463,645.2719999942929,319.1608749330044,,True,,True,,1,711.1917501315475,,True,,1,1432.8366657719016,,,True,,1,1432.210249826312,1,684.6962501294911
25,2026-02-16T02:12:39.493739,731.8581670988351,,,True,,7.399542024359107,1.77416717633605,1,9.173709200695155,,12.353541795164348,2.7511250227689743,1,15.10466681793332,,17.493541119620204,3.5883330274373293,1,21.081874147057533,,8.762249955907464,1,8.762249955907464,q06,6,1.0,5.934917135164142,6.911874981597066,5.085709039121866,6.924791960045695,192.35958298668265,434.9623329471797,371.4571250602603,202.6944998651743,389.6963330917061,630.9486669488251,621.1539169307798,326.5617920551449,,True,,True,,1,712.1062497608364,,True,,1,1431.976375170052,,,True,,1,1536.5320825949311,1,684.499875176698
26,2026-02-16T02:12:45.506366,1009.8594578448684,,,True,,22.9908749461174,3.229374997317791,4,26.220249943435192,,33.964915899559855,5.301125114783645,4,39.2660410143435,,280.0870828796178,9.500167099758984,4,289.5872499793768,,32.54608390852809,4,32.54608390852809,q07,7,1.0,19.862708868458867,30.026082880795,45.71070917882025,58.69175004772842,454.8719171434641,971.0704998578876,1008.8742501102388,924.8602078296244,833.094917004928,2353.2176660373807,2811.4604169968516,982.398666907102,,True,,True,,4,639.5157910883427,,True,,4,1276.0083749890327,,,True,,4,1333.7763752788303,4,620.1788750477135
27,2026-02-16T02:12:48.354914,970.89616721496,,,True,,24.986499920487404,3.292334033176303,4,28.278833953663707,,37.33441699296236,4.066457971930504,4,41.400874964892864,,230.79754202626648,9.46304202079773,4,240.2605840470642,,28.530791169032454,4,28.530791169032454,q07,7,1.0,13.392167165875437,28.061209013685584,33.42991601675749,61.17366603575647,424.8336250893771,810.5544168502092,696.0602910257876,953.0567498877645,1007.4024579953402,2030.3622921928763,2689.7563750389963,958.4418751765044,,True,,True,,4,643.3409997262061,,True,,4,1229.681917000562,,,True,,4,1347.9458326473832,4,621.4530826546252
28,2026-02-16T02:12:51.404591,994.6920818183572,,,True,,22.88120798766613,3.398624947294593,4,26.279832934960723,,39.54470786266029,4.958624951541424,4,44.50333281420171,,246.2157499976456,8.468125015497208,4,254.6838750131428,,29.31750006973743,4,29.31750006973743,q07,7,1.0,13.759458204731343,34.34058278799057,36.24687483534217,54.37899986281991,392.4017499666661,799.2002081591636,715.4294170904905,818.9500421285629,1000.6312921177596,1742.6549170631915,2569.600041024387,759.2451658565551,,True,,True,,4,626.1041248217225,,True,,4,1242.8436251357198,,,True,,4,1226.090708747506,4,624.9565831385553
