execution_number,timestamp,duration_ms,error,base_aggregate_columns,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_fanout,policy_column_count,query_type,row_count,run_num,variation_base_aggregate_columns,variation_join_fanout,variation_policy_columns,variation_row_count
43,2026-03-01T00:13:04.914902,112.53412486985326,,128,,True,,56.24479101970792,31.919917091727257,1,88.16470811143517,,56.28933385014534,70.95287507399917,1,127.2422089241445,2,512,PHASE_COMPETITION,10000,3,128,2,512,10000
44,2026-03-01T00:13:05.190513,108.8830828666687,,128,,True,,54.95895817875862,33.36320770904422,1,88.32216588780284,,53.92412468791008,68.60245810821652,1,122.5265827961266,2,512,PHASE_COMPETITION,10000,4,128,2,512,10000
45,2026-03-01T00:13:05.472780,112.80841566622257,,128,,True,,58.33966564387083,32.61008393019438,1,90.94974957406521,,54.46875002235174,71.39845797792077,1,125.86720800027251,2,512,PHASE_COMPETITION,10000,5,128,2,512,10000
46,2026-03-01T00:13:06.388246,22.15054165571928,,128,,True,,10.190416593104601,6.10604090616107,1,16.29645749926567,,11.96012506261468,8.035417180508375,1,19.995542243123055,4,2,PHASE_COMPETITION,10000,1,128,4,2,10000
47,2026-03-01T00:13:06.439368,27.12870854884386,,128,,True,,13.17483326420188,6.365667097270489,1,19.54050036147237,,13.953875284641981,8.411457762122154,1,22.365333046764135,4,2,PHASE_COMPETITION,10000,2,128,4,2,10000
48,2026-03-01T00:13:06.485402,21.676916629076004,,128,,True,,10.299833957105875,6.053125020116568,1,16.352958977222443,,11.377082671970129,7.600000128149986,1,18.977082800120115,4,2,PHASE_COMPETITION,10000,3,128,4,2,10000
49,2026-03-01T00:13:06.530729,21.652958821505308,,128,,True,,10.532416868954897,6.040832959115505,1,16.573249828070402,,11.120541952550411,8.117416873574257,1,19.237958826124668,4,2,PHASE_COMPETITION,10000,4,128,4,2,10000
50,2026-03-01T00:13:06.575998,22.643249947577715,,128,,True,,10.764167178422213,5.38616580888629,1,16.150332987308502,,11.879082769155502,7.494499906897545,1,19.373582676053047,4,2,PHASE_COMPETITION,10000,5,128,4,2,10000
51,2026-03-01T00:13:06.664221,20.173292607069016,,128,,True,,9.300833567976952,6.333082914352417,1,15.633916482329369,,10.872459039092064,7.643042132258415,1,18.51550117135048,4,4,PHASE_COMPETITION,10000,1,128,4,4,10000
52,2026-03-01T00:13:06.709048,22.157541941851377,,128,,True,,10.859916917979717,5.5329580791294575,1,16.392874997109175,,11.29762502387166,7.349791005253792,1,18.647416029125452,4,4,PHASE_COMPETITION,10000,2,128,4,4,10000
53,2026-03-01T00:13:06.753137,22.01520884409547,,128,,True,,10.145584121346474,6.084207911044359,1,16.229792032390833,,11.869624722748995,7.299833931028843,1,19.169458653777838,4,4,PHASE_COMPETITION,10000,3,128,4,4,10000
54,2026-03-01T00:13:06.796895,19.597957842051983,,128,,True,,9.246999863535166,5.693583749234676,1,14.940583612769842,,10.350957978516817,7.687083911150694,1,18.03804188966751,4,4,PHASE_COMPETITION,10000,4,128,4,4,10000
55,2026-03-01T00:13:06.841331,22.421792149543762,,128,,True,,10.318417102098465,5.539207719266415,1,15.85762482136488,,12.103375047445297,7.503374945372343,1,19.60674999281764,4,4,PHASE_COMPETITION,10000,5,128,4,4,10000
56,2026-03-01T00:13:06.973879,23.178917355835438,,128,,True,,10.172500275075436,6.1227078549563885,1,16.295208130031824,,13.006417080760002,46.40487488359213,1,59.41129196435213,4,8,PHASE_COMPETITION,10000,1,128,4,8,10000
