execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_num_rows,variation_policy_threshold,variation_rows_to_remove,variation_type
11,2026-03-01T00:03:22.074006,10.169625747948885,,,True,,0.4457496106624603,0.5694171413779259,1,1.0151667520403862,,0.5026250146329403,True,,0.8115419186651707,1,1.314166933298111,,0.6139171309769154,0.9152079001069069,1,1.5291250310838223,,0.39120903238654137,1,0.39120903238654137,1.1172504164278507,,4.8027075827121735,0.9031668305397034,1,5.919957999140024,5.919957999140024,1,SIMPLE_AGG,0,1,2,,,3,,100000,,,num_rows
12,2026-03-01T00:03:22.104612,10.082750581204891,,,True,,0.44745905324816704,0.5835001356899738,1,1.0309591889381409,,0.47220801934599876,True,,0.7835831493139267,1,1.2557911686599255,,0.6406661123037338,0.8866670541465282,1,1.527333166450262,,0.552792102098465,1,0.552792102098465,1.3099173083901405,,4.405957646667957,0.8670422248542309,1,5.715874955058098,5.715874955058098,1,SIMPLE_AGG,1,2,2,,,3,,100000,,,num_rows
13,2026-03-01T00:03:22.134778,9.732792153954506,,,True,,0.5142088048160076,0.559499952942133,1,1.0737087577581406,,0.5110418424010277,True,,0.7925000973045826,1,1.3035419397056103,,0.6005410104990005,0.8892910555005074,1,1.489832065999508,,0.520625151693821,1,0.520625151693821,1.1156252585351467,,4.2294589802622795,0.8649169467389584,1,5.345084238797426,5.345084238797426,1,SIMPLE_AGG,2,3,2,,,3,,100000,,,num_rows
14,2026-03-01T00:03:22.165181,10.038042441010475,,,True,,0.5186251364648342,0.68650022149086,1,1.2051253579556942,,0.4838341847062111,True,,0.683249905705452,1,1.167084090411663,,0.8484581485390663,0.9003332816064358,1,1.748791430145502,,0.5303341895341873,1,0.5303341895341873,1.2516668066382408,,4.135040566325188,0.9052911773324013,1,5.3867073729634285,5.3867073729634285,1,SIMPLE_AGG,3,4,2,,,3,,100000,,,num_rows
15,2026-03-01T00:03:22.196242,10.228912811726332,,,True,,0.5015833303332329,0.5960408598184586,1,1.0976241901516914,,0.5768327973783016,True,,0.7421658374369144,1,1.318998634815216,,0.6302907131612301,0.9053749963641167,1,1.5356657095253468,,0.387582927942276,1,0.387582927942276,1.6251662746071815,,4.26387507468462,0.8799578063189983,1,5.8890413492918015,5.8890413492918015,1,SIMPLE_AGG,4,5,2,,,3,,100000,,,num_rows
16,2026-03-01T00:03:22.340531,41.01516446098685,,,True,,0.6146668456494808,0.6232080049812794,1,1.2378748506307602,,1.0791248641908169,True,,0.861582811921835,1,1.9407076761126518,,1.5461249276995659,1.0835831053555012,1,2.629708033055067,,0.5955002270638943,1,0.5955002270638943,4.112415947020054,,30.498957727104425,0.9029577486217022,1,34.61137367412448,34.61137367412448,1,SIMPLE_AGG,0,1,3,,,4,,1000000,,,num_rows
17,2026-03-01T00:03:22.410153,42.01229102909565,,,True,,0.6542080081999302,0.6398339755833149,1,1.294041983783245,,0.8641248568892479,True,,0.9886249899864197,1,1.8527498468756676,,1.2801247648894787,0.9878748096525669,1,2.2679995745420456,,1.0460829362273216,1,1.0460829362273216,4.060124978423119,,31.49129170924425,0.9023747406899929,1,35.55141668766737,35.55141668766737,1,SIMPLE_AGG,1,2,3,,,4,,1000000,,,num_rows
18,2026-03-01T00:03:22.480539,41.32241755723953,,,True,,0.7202089764177799,0.5758330225944519,1,1.2960419990122318,,0.9584999643266201,True,,0.8397912606596947,1,1.7982912249863148,,1.1154171079397202,0.9536668658256531,1,2.0690839737653732,,0.6777080707252026,1,0.6777080707252026,4.36608400195837,,31.11520828679204,0.9207082912325859,1,35.48129228875041,35.48129228875041,1,SIMPLE_AGG,2,3,3,,,4,,1000000,,,num_rows
19,2026-03-01T00:03:22.548170,40.27587501332164,,,True,,0.6655841134488583,0.6143748760223389,1,1.2799589894711971,,0.8782502263784409,True,,0.8444166742265224,1,1.7226669006049633,,1.237624790519476,0.9202496148645878,1,2.1578744053840637,,0.622166320681572,1,0.622166320681572,4.68262517824769,,29.810583218932152,1.0566250421106815,1,34.49320839717984,34.49320839717984,1,SIMPLE_AGG,3,4,3,,,4,,1000000,,,num_rows
20,2026-03-01T00:03:22.613407,37.883210461586714,,,True,,0.6581670604646206,0.6649591960012913,1,1.3231262564659119,,0.9207078255712986,True,,0.7045422680675983,1,1.625250093638897,,1.4177500270307064,1.096375286579132,1,2.5141253136098385,,0.6128749810159206,1,0.6128749810159206,4.304708912968636,,27.50312490388751,1.082917209714651,1,31.807833816856146,31.807833816856146,1,SIMPLE_AGG,4,5,3,,,4,,1000000,,,num_rows
