execution_number,timestamp,duration_ms,error,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
121,2026-02-16T01:19:44.184145,34.10962503403425,,,6.725917104631662,3.3357078209519386,10,10.061624925583601,,10.23666700348258,5.249417154118419,10,15.486084157600999,16,,8.557999972254038,10,10000,1,2,17
122,2026-02-16T01:19:44.223968,33.10166602022946,,,7.445542141795158,3.3048330806195736,10,10.750375222414732,,10.057584149762988,5.458000116050243,10,15.515584265813231,16,,6.832083920016885,10,10000,2,2,17
123,2026-02-16T01:19:44.261088,30.619499972090125,,,6.007165880873799,3.2172079663723707,10,9.22437384724617,,9.47195803746581,4.668249981477857,10,14.140208018943667,16,,7.2512091137468815,10,10000,3,2,17
124,2026-02-16T01:19:44.299470,32.348791137337685,,,6.973458919674158,3.2117911614477634,10,10.185250081121922,,8.904875023290515,6.317666964605451,10,15.222541987895966,16,,6.936416961252689,10,10000,4,2,17
125,2026-02-16T01:19:44.337473,31.63216612301767,,,8.397999918088317,3.303042147308588,10,11.701042065396905,,8.477750001475215,4.807082936167717,10,13.284832937642932,16,,6.641624961048365,10,10000,5,2,17
126,2026-02-16T01:19:44.376664,32.641875091940165,,,7.171208038926125,4.137958865612745,10,11.30916690453887,,10.378082981333137,4.962833831086755,10,15.340916812419891,16,,5.988250020891428,10,10000,6,2,17
127,2026-02-16T01:19:44.414684,31.929208897054195,,,7.076124893501401,3.3139169681817293,10,10.39004186168313,,8.669500006362796,6.098666926845908,10,14.768166933208704,16,,6.7662501242011786,10,10000,7,2,17
128,2026-02-16T01:19:44.452214,31.311375088989735,,,6.022916873916984,3.1134169548749924,10,9.136333828791976,,10.198333067819476,5.316500086337328,10,15.514833154156804,16,,6.656208075582981,10,10000,8,2,17
129,2026-02-16T01:19:44.492812,33.76195905730128,,,7.418874884024262,3.07237496599555,10,10.491249850019813,,11.296625016257167,5.801208084449172,10,17.09783310070634,16,,6.1684169340878725,10,10000,9,2,17
130,2026-02-16T01:19:44.529192,30.32308304682374,,,6.117874989286065,3.3113330136984587,10,9.429208002984524,,9.870833018794656,4.740624921396375,10,14.61145794019103,16,,6.278124870732427,10,10000,10,2,17
131,2026-02-16T01:19:44.567802,32.25374990142882,,,6.301332963630557,3.8821669295430183,10,10.183499893173575,,9.894041111692786,5.209416849538684,10,15.10345796123147,16,,6.9619170390069485,10,10000,11,2,17
132,2026-02-16T01:19:44.606380,31.29350021481514,,,7.561417063698173,3.096542088314891,10,10.657959152013063,,9.45545919239521,5.427624797448516,10,14.883083989843726,16,,5.7490000035613775,10,10000,12,2,17
