execution_number,timestamp,duration_ms,error,base_aggregate_columns,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_fanout,policy_column_count,query_type,row_count,run_num,variation_base_aggregate_columns,variation_join_fanout,variation_policy_columns,variation_row_count
61,2026-02-16T01:15:06.052560,16.54425007291138,,128,,True,,7.893125060945749,6.124499952420592,1,14.017625013366342,,8.651125011965632,8.072749944403768,1,16.7238749563694,2,16,PHASE_COMPETITION,10000,1,128,2,16,10000
62,2026-02-16T01:15:06.094181,15.711999032646418,,128,,True,,7.440583081915975,7.156959036365151,1,14.597542118281126,,8.271415950730443,8.87833395972848,1,17.149749910458922,2,16,PHASE_COMPETITION,10000,2,128,2,16,10000
63,2026-02-16T01:15:06.133993,16.063375864177942,,128,,True,,7.314292015507817,5.970583064481616,1,13.284875079989433,,8.749083848670125,8.24262504465878,1,16.991708893328905,2,16,PHASE_COMPETITION,10000,3,128,2,16,10000
64,2026-02-16T01:15:06.176678,17.600292107090354,,128,,True,,8.322292007505894,6.940667051821947,1,15.26295905932784,,9.27800009958446,7.960041053593159,1,17.23804115317762,2,16,PHASE_COMPETITION,10000,4,128,2,16,10000
65,2026-02-16T01:15:06.216144,15.737999929115176,,128,,True,,7.283875020220876,5.974333034828305,1,13.258208055049181,,8.4541249088943,8.070959011092782,1,16.525083919987082,2,16,PHASE_COMPETITION,10000,5,128,2,16,10000
66,2026-02-16T01:15:06.259443,17.634500050917268,,128,,True,,8.289959048852324,6.125665968284011,1,14.415625017136335,,9.344541002064943,8.262790972366929,1,17.607331974431872,2,16,PHASE_COMPETITION,10000,6,128,2,16,10000
67,2026-02-16T01:15:06.297641,14.829125022515655,,128,,True,,7.097125053405762,6.36500003747642,1,13.462125090882182,,7.731999969109893,7.698999950662255,1,15.430999919772148,2,16,PHASE_COMPETITION,10000,7,128,2,16,10000
68,2026-02-16T01:15:06.340436,17.95554207637906,,128,,True,,8.306958014145494,6.185624981299043,1,14.492582995444536,,9.648584062233567,8.22170777246356,1,17.870291834697127,2,16,PHASE_COMPETITION,10000,8,128,2,16,10000
69,2026-02-16T01:15:06.378501,14.734334079548717,,128,,True,,6.817875197157264,6.6411669831722975,1,13.459042180329561,,7.916458882391453,7.489209063351154,1,15.405667945742607,2,16,PHASE_COMPETITION,10000,9,128,2,16,10000
70,2026-02-16T01:15:06.438123,17.777333967387676,,128,,True,,7.968374993652105,6.103290943428874,1,14.07166593708098,,9.808958973735571,25.428959168493748,1,35.23791814222932,2,16,PHASE_COMPETITION,10000,10,128,2,16,10000
