execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
33,2026-02-03T21:58:52.220544,397.8263328317553,,,True,,19.355291966348886,3.8175000809133053,2,23.17279204726219,,37.96208300627768,10.315374936908484,2,48.277457943186164,,30.11870803311467,2,30.11870803311467,,True,,True,,2,277.76233316399157,,,True,,2,538.26087503694,2,296.25737480819225,q08,8,1.0
34,2026-02-03T21:59:02.147050,1302.4160428903997,,,True,,63.18579101935029,5.5516669526696205,175,68.73745797201991,,114.09420892596245,8.904166985303164,175,122.99837591126561,,74.59149998612702,175,74.59149998612702,,True,,True,,175,755.1490000914782,,,True,,175,7856.357250129804,175,1036.0887090209872,q09,9,1.0
35,2026-02-03T21:59:04.256215,767.9092071484774,,,True,,39.88050017505884,16.11487497575581,20,55.99537515081465,,65.07504102773964,5.6409998796880245,20,70.71604090742767,,52.468833047896624,20,52.468833047896624,,True,,True,,20,444.78824990801513,,,True,,20,889.5854169968516,20,588.7289580423385,q10,10,1.0
36,2026-02-03T21:59:06.110187,576.8129162024707,,,True,,22.490625036880374,4.483374999836087,2,26.97400003671646,,37.640915950760245,6.563458126038313,2,44.20437407679856,,29.725000029429793,2,29.725000029429793,,True,,True,,2,403.7421669345349,,,True,,2,862.5828749500215,2,475.90954205952585,q12,12,1.0
37,2026-02-03T21:59:07.174761,312.099750386551,,,True,,17.42937508970499,2.170042134821415,1,19.599417224526405,,21.18941699154675,5.7521250564605,1,26.94154204800725,,16.608625184744596,1,16.608625184744596,,True,,True,,1,247.0669171307236,,,True,,1,495.2878749463707,1,248.95016592927277,q14,14,1.0
38,2026-02-03T21:59:28.337856,6407.57525106892,,,True,,69.61945816874504,6.519374903291464,57,76.1388330720365,,158.21074997074902,7.478042040020227,57,165.68879201076925,,68.41770908795297,57,68.41770908795297,,True,,True,,57,6320.921416161582,,,True,,57,8421.595041872934,57,6097.329916898161,q18,18,1.0
39,2026-02-03T21:59:29.887958,457.6785417739302,,,True,,26.314500020816922,5.454333033412695,1,31.768833054229617,,52.696541883051395,9.941499913111329,1,62.638041796162724,,32.33587509021163,1,32.33587509021163,,True,,True,,1,338.37808296084404,,,True,,1,739.3864169716835,1,330.9357918333262,q19,19,1.0
40,2026-02-03T21:59:37.554078,1584.3440419994295,,,True,,42.22604213282466,2.933250041678548,4,45.15929217450321,,187.77341698296368,8.781749987974763,4,196.55516697093844,,41.31362494081259,4,41.31362494081259,,True,,True,,4,1310.0938750430942,,,True,,4,4761.063958052546,4,1301.3159579131752,q01,1,1.0
41,2026-02-03T21:59:39.119694,427.6864994317293,,,True,,16.72600000165403,3.7978750187903643,10,20.523875020444393,,28.12775014899671,5.015541100874543,10,33.143291249871254,,19.167250022292137,10,19.167250022292137,,True,,True,,10,353.0117499176413,,,True,,10,772.7917500305921,10,354.85208313912153,q03,3,1.0
42,2026-02-03T21:59:47.788999,880.1704163197428,,,True,,51.89470807090402,4.38095792196691,5,56.27566599287093,,173.6479999963194,4.863333189859986,5,178.5113331861794,,23.38529215194285,5,23.38529215194285,,True,,True,,5,3488.0494168028235,,,True,,5,4291.852833004668,5,621.9981249887496,q04,4,1.0
43,2026-02-03T21:59:48.966762,347.96854108572006,,,True,,18.40737508609891,2.70379101857543,5,21.11116610467434,,29.076625127345324,4.950666101649404,5,34.02729122899473,,23.083083797246218,5,23.083083797246218,,True,,True,,5,263.855499913916,,,True,,5,554.0975839830935,5,269.7469999548048,q05,5,1.0
44,2026-02-03T21:59:50.115058,302.9426254797727,,,True,,6.090583046898246,1.9273750949651003,1,8.017958141863346,,11.595959076657891,3.8706250488758087,1,15.4665841255337,,8.264500182121992,1,8.264500182121992,,True,,True,,1,265.67429094575346,,,True,,1,570.4248750116676,1,271.19358303025365,q06,6,1.0
45,2026-02-03T21:59:51.737288,554.2770002502948,,,True,,26.011249981820583,6.195124937221408,4,32.20637491904199,,41.42475011758506,14.902458060532808,4,56.32720817811787,,25.903459172695875,4,25.903459172695875,,True,,True,,4,377.33275000937283,,,True,,4,679.5064171310514,4,439.83995798043907,q07,7,1.0
46,2026-02-03T21:59:53.117766,437.47770856134593,,,True,,25.04945802502334,4.592666868120432,2,29.642124893143773,,42.41862497292459,12.542041949927807,2,54.9606669228524,,28.953291941434145,2,28.953291941434145,,True,,True,,2,322.54462502896786,,,True,,2,610.4092500172555,2,323.9216248039156,q08,8,1.0
