execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
15,2026-02-05T12:55:34.538286,69.65762423351407,,,True,,24.13870790041983,3.7914582062512636,10,27.930166106671095,,20.74695797637105,4.200082970783114,10,24.947040947154164,,16.78041717968881,10,16.78041717968881,q03,3,1.0
16,2026-02-05T12:55:34.740631,198.0945006944239,,,True,,59.011791832745075,2.66716699115932,5,61.678958823904395,,115.56479195132852,2.8396248817443848,5,118.4044168330729,,18.011125037446618,5,18.011125037446618,q04,4,1.0
17,2026-02-05T12:55:34.821946,77.2196261677891,,,True,,17.20391702838242,2.1385829895734787,5,19.3425000179559,,32.47354202903807,4.665625048801303,5,37.139167077839375,,20.737959071993828,5,20.737959071993828,q05,5,1.0
18,2026-02-05T12:55:34.848343,22.519375197589397,,,True,,4.517416935414076,1.1052500922232866,1,5.6226670276373625,,10.342583060264587,2.228375058621168,1,12.570958118885756,,4.325750051066279,1,4.325750051066279,q06,6,1.0
19,2026-02-05T12:55:35.160930,308.5732511244714,,,True,,22.07687497138977,3.695917082950473,4,25.772792054340243,,255.30462502501905,9.812667034566402,4,265.11729205958545,,17.68316701054573,4,17.68316701054573,q07,7,1.0
20,2026-02-05T12:55:35.294949,129.83558303676546,,,True,,24.698249995708466,2.989124972373247,2,27.687374968081713,,72.29287503287196,8.64629098214209,2,80.93916601501405,,21.20904205366969,2,21.20904205366969,q08,8,1.0
21,2026-02-05T12:56:00.293469,24994.54674962908,,,True,,46.705333050340414,2.7765408158302307,175,49.481873866170645,,24890.62345889397,6.384166888892651,175,24897.007625782862,,48.057249980047345,175,48.057249980047345,q09,9,1.0
22,2026-02-05T12:56:00.443413,143.01629015244544,,,True,,34.3140410259366,5.299541167914867,20,39.61358219385147,,53.141542011871934,5.6107910349965096,20,58.75233304686844,,44.65037491172552,20,44.65037491172552,q10,10,1.0
23,2026-02-05T12:56:00.511099,64.11329400725663,,,True,,14.162334147840738,1.8914169631898403,2,16.05375111103058,,29.252958949655294,3.9772919844835997,2,33.230250934138894,,14.829291962087154,2,14.829291962087154,q12,12,1.0
24,2026-02-05T12:56:00.558963,44.37733325175941,,,True,,10.957375168800354,2.247750060632825,1,13.205125229433179,,15.854625031352043,2.908291993662715,1,18.762917025014758,,12.409290997311473,1,12.409290997311473,q14,14,1.0
25,2026-02-05T12:56:00.741827,178.3387486357242,,,True,,46.08545801602304,4.018249921500683,57,50.10370793752372,,82.07291597500443,3.63387493416667,57,85.7067909091711,,42.52824978902936,57,42.52824978902936,q18,18,1.0
26,2026-02-05T12:56:00.834419,88.73429126106203,,,True,,21.189542021602392,3.170666052028537,1,24.36020807363093,,37.34091599471867,6.856083171442151,1,44.19699916616082,,20.177084021270275,1,20.177084021270275,q19,19,1.0
