execution_number,timestamp,duration_ms,error,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,query_name,query_num,tpch_sf
38,2026-02-06T18:17:44.261683,1408.5874590091407,,,True,,True,,57,948.533833026886,,,True,,57,2074.669708032161,57,942.0155419502408,q18,18,1.0
39,2026-02-06T18:17:46.300122,623.8417087588459,,,True,,True,,1,535.6303330045193,,,True,,1,859.0392079204321,1,459.5417499076575,q19,19,1.0
40,2026-02-06T18:17:48.987362,902.9839993454516,,,True,,True,,4,540.8277919050306,,,True,,4,1225.1109590288252,4,516.8314999900758,q01,1,1.0
41,2026-02-06T18:17:51.096912,594.9103748425841,,,True,,True,,10,538.0233339965343,,,True,,10,962.7935842145234,10,491.9500001706183,q03,3,1.0
42,2026-02-06T18:17:53.823488,816.938792122528,,,True,,True,,5,543.8484589103609,,,True,,5,1344.1058329772204,5,507.91904190555215,q04,4,1.0
43,2026-02-06T18:17:57.326367,744.8069169186056,,,True,,True,,5,628.7884588818997,,,True,,5,2109.8113749176264,5,591.796875,q05,5,1.0
44,2026-02-06T18:17:59.151303,525.0362087972462,,,True,,True,,1,429.8662089277059,,,True,,1,854.404249927029,1,480.1343330182135,q06,6,1.0
45,2026-02-06T18:18:02.837881,1228.7875842303038,,,True,,True,,4,672.8469578083605,,,True,,4,1764.7547498345375,4,639.567333040759,q07,7,1.0
46,2026-02-06T18:18:05.418147,765.1656670495868,,,True,,True,,2,600.0719589646906,,,True,,2,1200.6288750562817,2,571.8594579957426,q08,8,1.0
47,2026-02-06T18:19:02.983604,36396.70441788621,,,True,,True,,175,576.9169579725713,,,True,,175,20564.94537508115,175,1470.2726248651743,q09,9,1.0
48,2026-02-06T18:19:07.994653,1757.808414986357,,,True,,True,,20,1150.013708975166,,,True,,20,2025.9678750298915,20,1238.217792008072,q10,10,1.0
49,2026-02-06T18:19:10.609698,1037.7956656739116,,,True,,True,,2,543.2419588323683,,,True,,2,1021.9063749536872,2,921.7065831180662,q12,12,1.0
50,2026-02-06T18:19:12.334583,499.4890398811549,,,True,,True,,1,410.66420800052583,,,True,,1,797.8220419026911,1,408.0803750548512,q14,14,1.0
51,2026-02-06T18:19:16.988933,1436.9016659911722,,,True,,True,,57,1001.28645892255,,,True,,57,2199.0050829481333,57,990.430333185941,q18,18,1.0
52,2026-02-06T18:19:18.959224,639.1908312216401,,,True,,True,,1,455.3519159089774,,,True,,1,859.4986251555383,1,485.9940831083805,q19,19,1.0
53,2026-02-06T18:19:21.554198,852.4832909461111,,,True,,True,,4,492.6054170355201,,,True,,4,1232.8137499280274,4,479.6517079230398,q01,1,1.0
54,2026-02-06T18:19:23.562822,550.1142072025687,,,True,,True,,10,499.0981249138713,,,True,,10,946.9840829260648,10,446.8056671321392,q03,3,1.0
55,2026-02-06T18:19:25.893616,725.1260848715901,,,True,,True,,5,490.33491709269583,,,True,,5,1096.6358750592915,5,436.7707499768585,q04,4,1.0
56,2026-02-06T18:19:29.143996,694.3619593512267,,,True,,True,,5,621.670207940042,,,True,,5,1917.0281251426784,5,540.2826659847051,q05,5,1.0
57,2026-02-06T18:19:30.886005,459.2888329643756,,,True,,True,,1,419.72120804712176,,,True,,1,846.3660830166191,1,411.1473329830915,q06,6,1.0
58,2026-02-06T18:19:34.597190,1183.19674837403,,,True,,True,,4,665.1189171243459,,,True,,4,1846.6405000071973,4,584.7315420396626,q07,7,1.0
59,2026-02-06T18:19:37.143677,740.0053348392248,,,True,,True,,2,598.9242079667747,,,True,,2,1192.732458934188,2,553.0795841477811,q08,8,1.0
60,2026-02-06T18:20:34.346194,34596.26558399759,,,True,,True,,175,645.7411670126021,,,True,,175,21938.3791659493,175,1499.2878339253366,q09,9,1.0
61,2026-02-06T18:20:39.450012,1886.200747685507,,,True,,True,,20,1182.3908749502152,,,True,,20,1984.5696659758687,20,1317.633124999702,q10,10,1.0
62,2026-02-06T18:20:41.834310,881.6649590153247,,,True,,True,,2,486.87937506474555,,,True,,2,1003.8743331097066,2,763.5635831393301,q12,12,1.0
63,2026-02-06T18:20:43.542271,536.0865432303399,,,True,,True,,1,400.1172920688987,,,True,,1,753.0604579951614,1,448.5767500009388,q14,14,1.0
64,2026-02-06T18:20:47.824205,1337.1515022590756,,,True,,True,,57,901.7767501063644,,,True,,57,2023.642749991268,57,898.5373750329018,q18,18,1.0
65,2026-02-06T18:20:49.770881,653.7267491221428,,,True,,True,,1,451.08295883983374,,,True,,1,824.9251670204103,1,501.6000831965357,q19,19,1.0
