execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms
21,2026-02-09T20:03:09.931948,26326.69579330832,,,True,,46.82358307763934,1.8514171242713928,175,48.675000201910734,,25980.93429207802,5.279875127598643,175,25986.214167205617,,58.437959058210254,175,58.437959058210254,q09,9,1.0,,True,,True,,175,27.487375074997544,,,True,,175,53.27841709367931,175,233.36866684257984,,True,,True,,175,1414.0924580860883,,,True,,175,10206.09258301556,175,3970.6543751526624,,True,,True,,175,607.1381669025868,,,True,,175,19799.991082865745,175,1468.4665000531822
22,2026-02-09T20:03:10.315332,323.60078976489604,,,True,,67.64220795594156,13.414249988272786,20,81.05645794421434,,85.25966596789658,6.694582989439368,20,91.95424895733596,,100.4345000255853,20,100.4345000255853,q10,10,1.0,,True,,True,,20,11.969499988481402,,,True,,20,22.498750127851963,20,50.15558283776045,,True,,True,,20,643.792666029185,,,True,,20,1610.508708981797,20,1150.3481660038233,,True,,True,,20,1329.3446670286355,,,True,,20,2119.654915994033,20,1453.7600830662996
23,2026-02-09T20:03:10.452452,110.36304081790148,,,True,,16.025708056986332,1.890874933451414,2,17.916582990437746,,31.588457990437742,3.895999863743782,2,35.48445785418153,,30.105749843642116,2,30.105749843642116,q12,12,1.0,,True,,True,,2,5.760124884545803,,,True,,2,8.96204193122685,2,26.856250129640102,,True,,True,,2,791.4513750001788,,,True,,2,1002.0384581293912,2,811.9317081291229,,True,,True,,2,653.4107921179384,,,True,,2,1059.8807078786194,2,940.3161250520498
24,2026-02-09T20:03:10.532905,62.606582418084145,,,True,,12.977583101019263,2.1055000834167004,1,15.083083184435964,,24.287000065669417,3.1548331025987864,1,27.441833168268204,,15.112416120246053,1,15.112416120246053,q14,14,1.0,,True,,True,,1,3.047292120754719,,,True,,1,4.0642921812832355,1,4.9692499451339245,,True,,True,,1,296.3393749669194,,,True,,1,590.2518338989466,1,346.4275000151247,,True,,True,,1,425.83741690032184,,,True,,1,818.1997919455171,1,434.2926659155637
25,2026-02-09T20:03:10.992001,371.4915399905294,,,True,,52.88924998603761,3.888833103701472,57,56.77808308973909,,132.7529998961836,3.8067910354584455,57,136.55979093164206,,95.2775408513844,57,95.2775408513844,q18,18,1.0,,True,,True,,57,40.42791691608727,,,True,,57,36.6246250923723,57,82.87612511776388,,True,,True,,57,8214.718541130424,,,True,,57,12370.540458941832,57,7826.787790982053,,True,,True,,57,951.625999994576,,,True,,57,2007.524542044848,57,939.2745001241564
26,2026-02-09T20:03:11.136956,115.6888750847429,,,True,,24.36874993145466,3.2369999680668116,1,27.60574989952147,,43.63800003193319,6.242250092327595,1,49.88025012426078,,29.29849992506206,1,29.29849992506206,q19,19,1.0,,True,,True,,1,4.677999997511506,,,True,,1,7.325040875002742,1,8.90437513589859,,True,,True,,1,463.1817499175668,,,True,,1,941.9912919402122,1,625.2345831599087,,True,,True,,1,484.5692499075085,,,True,,1,888.2274169009179,1,535.4780000634491
27,2026-02-09T20:03:11.485559,267.2343342565,,,True,,51.7969171050936,3.464292036369443,4,55.26120914146304,,115.74437515810132,3.8414171431213617,4,119.58579230122268,,53.45237487927079,4,53.45237487927079,q01,1,1.0,,True,,True,,4,31.259542098268867,,,True,,4,36.76316700875759,4,38.93495793454349,,True,,True,,4,1646.417791955173,,,True,,4,6753.577332943678,4,1776.5918329823762,,True,,True,,4,559.1051660012454,,,True,,4,1316.738124936819,4,482.1670001838356
28,2026-02-09T20:03:11.604304,89.92437599226832,,,True,,22.811624919995666,3.199959173798561,10,26.011584093794227,,30.09237488731742,3.810167079791426,10,33.902541967108846,,20.236250013113025,10,20.236250013113025,q03,3,1.0,,True,,True,,10,6.482708966359496,,,True,,10,9.932332905009387,10,9.77399991825223,,True,,True,,10,504.8320419155061,,,True,,10,1025.537749985233,10,1059.3283749185505,,True,,True,,10,506.3506248407066,,,True,,10,1040.6405420508236,10,480.2745000924915
29,2026-02-09T20:03:12.013228,206.06737700290975,,,True,,47.715459018945694,2.4359170347452164,5,50.15137605369091,,111.467459006235,2.391541842371226,5,113.85900084860624,,19.577166996896267,5,19.577166996896267,q04,4,1.0,,True,,True,,5,8.826292119920254,,,True,,5,184.03750006109476,5,22.479833103716373,,True,,True,,5,4664.500416023657,,,True,,5,6076.365709071979,5,955.026290845126,,True,,True,,5,503.77404200844467,,,True,,5,1047.1963749732822,5,440.599791938439
30,2026-02-09T20:03:12.177222,117.38495784811676,,,True,,25.13458300381899,2.117166994139552,5,27.25174999795854,,47.62483388185501,4.243915900588036,5,51.86874978244305,,28.79499993287027,5,28.79499993287027,q05,5,1.0,,True,,True,,5,8.761666947975755,,,True,,5,12.093083932995796,5,9.4694581348449,,True,,True,,5,347.81737509183586,,,True,,5,674.0188749972731,5,789.2194997984916,,True,,True,,5,549.8174580279738,,,True,,5,2000.0909159425648,5,521.1098750587553
