execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
17,2026-02-05T13:06:05.483154,63.215040834620595,,,True,,13.542499858886003,1.8352079205214977,5,15.377707779407501,,27.565666008740664,4.072375129908323,5,31.638041138648987,,16.199291916564107,5,16.199291916564107,q05,5,1.0
18,2026-02-05T13:06:05.504232,17.68608414568007,,,True,,3.3398750238120556,1.0058749467134476,1,4.345749970525503,,8.175834082067013,1.9165000412613153,1,10.092334123328328,,3.2480000518262386,1,3.2480000518262386,q06,6,1.0
19,2026-02-05T13:06:05.716802,209.32895690202713,,,True,,14.913457911461592,3.1468330416828394,4,18.06029095314443,,168.99808286689222,7.906374987214804,4,176.90445785410702,,14.364208094775677,4,14.364208094775677,q07,7,1.0
20,2026-02-05T13:06:05.821865,101.70529200695455,,,True,,18.408541101962328,2.4301670491695404,2,20.83870815113187,,56.052666855975986,7.444459013640881,2,63.497125869616866,,17.369457986205816,2,17.369457986205816,q08,8,1.0
21,2026-02-05T13:06:34.444444,28619.071708992124,,,True,,39.66187499463558,2.308374969288707,175,41.97024996392429,,28533.988959155977,5.3780830930918455,175,28539.36704224907,,37.7344167791307,175,37.7344167791307,q09,9,1.0
22,2026-02-05T13:06:34.642173,190.4743320774287,,,True,,34.704208141192794,5.088916048407555,20,39.79312418960035,,47.035583993420005,5.230708047747612,20,52.26629204116762,,98.41491584666073,20,98.41491584666073,q10,10,1.0
23,2026-02-05T13:06:34.727495,80.8409582823515,,,True,,11.951083084568381,1.9417500589042902,2,13.892833143472672,,45.46870803460479,3.994542174041271,2,49.46325020864606,,17.484874930232763,2,17.484874930232763,q12,12,1.0
24,2026-02-05T13:06:34.797584,55.07254181429744,,,True,,10.55899984203279,2.1376251243054867,1,12.696624966338277,,15.891999937593937,2.6536250952631235,1,18.54562503285706,,23.8302918151021,1,23.8302918151021,q14,14,1.0
25,2026-02-05T13:06:34.971531,170.38074997253716,,,True,,44.666708214208484,3.855041926726699,57,48.52175014093518,,79.10004211589694,3.569499822333455,57,82.6695419382304,,39.18945789337158,57,39.18945789337158,q18,18,1.0
26,2026-02-05T13:06:35.055370,80.04124904982746,,,True,,18.782957922667265,2.803416922688484,1,21.58637484535575,,34.672125009819865,6.071458104997873,1,40.74358311481774,,17.71129108965397,1,17.71129108965397,q19,19,1.0
