execution_number,timestamp,duration_ms,error,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
11,2026-02-13T02:26:22.607817,790.9714179113507,,q14,14,,True,,True,,1,634.8696250934154,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,721.0072090383619,1.0
12,2026-02-13T02:26:24.637719,2003.223665524274,,q18,18,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,57,1670.1021248009056,1.0
13,2026-02-13T02:26:28.017577,1717.1520844567567,,q19,19,,True,,True,,1,1639.3763329833746,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,1598.9765420090407,1.0
14,2026-02-13T02:26:46.562674,9187.934541143475,,q01,1,,True,,True,,4,9331.7978749983,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,4,8934.755916008726,1.0
15,2026-02-13T02:26:47.331312,739.9294171482325,,q03,3,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,10,645.7235419657081,1.0
16,2026-02-13T02:26:50.030292,1345.1588761527091,,q04,4,,True,,True,,5,1331.3326670322567,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,5,1133.3674578927455,1.0
17,2026-02-13T02:26:51.566601,793.6389145907015,,q05,5,,True,,True,,5,715.9070000052452,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,5,680.0904159899801,1.0
18,2026-02-13T02:26:53.081142,810.6474590022117,,q06,6,,True,,True,,1,679.5298331417143,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,773.2473339419812,1.0
19,2026-02-13T02:26:54.945588,1119.3063331302255,,q07,7,,True,,True,,4,711.960457963869,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,4,704.1588330175728,1.0
20,2026-02-13T02:26:56.485338,796.0687498562038,,q08,8,,True,,True,,2,718.562874943018,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,2,657.4002499692142,1.0
21,2026-02-13T02:27:34.484909,37046.24504223466,,q09,9,,True,,True,,175,927.0528750494124,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,175,1014.467375120148,1.0
22,2026-02-13T02:27:36.322890,1809.538541128859,,q10,10,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,20,1505.37525000982,1.0
23,2026-02-13T02:27:38.363380,1096.9607925508171,,q12,12,,True,,True,,2,920.3897500410676,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,2,1004.2987091001124,1.0
24,2026-02-13T02:27:39.695076,686.7778750602156,,q14,14,,True,,True,,1,626.9192087929696,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,615.566958906129,1.0
25,2026-02-13T02:27:41.701303,1977.5401682127267,,q18,18,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,57,1650.82854218781,1.0
26,2026-02-13T02:27:44.934044,1663.7598758097738,,q19,19,,True,,True,,1,1547.184000024572,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,1555.8989578858018,1.0
27,2026-02-13T02:28:03.539369,9282.470125239342,,q01,1,,True,,True,,4,9299.163083080202,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,4,9042.110500158742,1.0
28,2026-02-13T02:28:04.302830,736.1344159580767,,q03,3,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,10,647.155708167702,1.0
29,2026-02-13T02:28:07.034475,1377.7685430832207,,q04,4,,True,,True,,5,1330.7794171851128,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,5,1170.5298339948058,1.0
30,2026-02-13T02:28:08.469453,726.3499570544809,,q05,5,,True,,True,,5,681.9021250121295,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,5,618.3680410031229,1.0
31,2026-02-13T02:28:09.881991,702.1375838667154,,q06,6,,True,,True,,1,685.6433341745287,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,665.3816669713706,1.0
32,2026-02-13T02:28:11.646933,1032.1496662218124,,q07,7,,True,,True,,4,699.8476248700172,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,4,625.3162501379848,1.0
33,2026-02-13T02:28:13.291717,895.5928750801831,,q08,8,,True,,True,,2,716.2279589101672,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,2,650.7435420062393,1.0
34,2026-02-13T02:29:02.257595,47957.88204064593,,q09,9,,True,,True,,175,967.7093331702054,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,175,955.101375002414,1.0
35,2026-02-13T02:29:04.093303,1791.0553740803152,,q10,10,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,20,1453.2873751595616,1.0
36,2026-02-13T02:29:06.124263,1078.538208734244,,q12,12,,True,,True,,2,925.8294159080832,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,2,962.8546671010554,1.0
37,2026-02-13T02:29:07.552944,712.0904584880918,,q14,14,,True,,True,,1,695.9511670283973,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,614.1436249017715,1.0
38,2026-02-13T02:29:09.606008,2026.6355010680857,,q18,18,,True,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,57,1674.9795000068843,1.0
39,2026-02-13T02:29:12.838406,1665.1712921448052,,q19,19,,True,,True,,1,1542.320084059611,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,1,1539.9860001634806,1.0
40,2026-02-13T02:29:31.178923,9135.860248934478,,q01,1,,True,,True,,4,9176.65370902978,,"Errors: duckdb=None, sqlserver='str' object has no attribute 'this'",False,'str' object has no attribute 'this',0,0.0,4,8877.660959027708,1.0
