execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
11,2026-02-14T13:12:57.488443,97.08949993364513,,,True,,14.1547080129385,1.8210408743470907,1,15.97574888728559,,25.393750052899122,4.143374972045422,1,29.537125024944544,,17.970792017877102,1,17.970792017877102,16.22966700233519,,17.376167001202703,3.112958976998925,1,33.60583400353789,33.60583400353789,q14,14,1.0
12,2026-02-14T13:12:57.694450,202.00249971821904,,,True,,52.1308328025043,5.694209132343531,57,57.82504193484783,,92.22304192371666,4.6545828226953745,57,96.87762474641204,,47.29983303695917,57,47.29983303695917,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q18,18,1.0
13,2026-02-14T13:12:57.890042,160.96291807480156,,,True,,29.00175005197525,3.973458893597126,1,32.975208945572376,,51.5947078820318,8.340459084138274,1,59.93516696617007,,28.18004204891622,1,28.18004204891622,35.00979207456112,,4.862708039581776,6.930500036105514,1,39.872500114142895,39.872500114142895,q19,19,1.0
14,2026-02-14T13:12:58.893058,971.3497899938375,,,True,,33.93554105423391,1.940291142091155,4,35.875832196325064,,110.95033283345401,5.085499957203865,4,116.03583279065788,,31.56508319079876,4,31.56508319079876,117.05604195594788,,670.8169998601079,4.535666899755597,4,787.8730418160558,787.8730418160558,q01,1,1.0
15,2026-02-14T13:12:59.019253,94.96795642189682,,,True,,18.994332989677787,4.0992500726133585,10,23.093583062291145,,23.62504112534225,4.505832912400365,10,28.130874037742615,,16.928291181102395,10,16.928291181102395,21.80674998089671,,5.008458159863949,3.618875052779913,10,26.81520814076066,26.81520814076066,q03,3,1.0
16,2026-02-14T13:12:59.220452,196.6352928429842,,,True,,44.90312491543591,2.965959021821618,5,47.86908393725753,,126.61229190416634,2.904667053371668,5,129.516958957538,,19.249249948188663,5,19.249249948188663,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
17,2026-02-14T13:12:59.373618,120.66116626374424,,,True,,20.560708129778504,3.0972498934715986,5,23.657958023250103,,34.8212921526283,5.524375010281801,5,40.345667162910104,,20.876958034932613,5,20.876958034932613,22.343707969412208,,13.436875073239207,3.6639580503106117,5,35.780583042651415,35.780583042651415,q05,5,1.0
18,2026-02-14T13:12:59.504107,94.57320813089609,,,True,,5.368249956518412,1.3514580205082893,1,6.719707977026701,,54.555042181164026,2.3532500490546227,1,56.90829223021865,,5.234833108261228,1,5.234833108261228,7.1429170202463865,,18.567457795143127,1.7988330218940973,1,25.710374815389514,25.710374815389514,q06,6,1.0
19,2026-02-14T13:12:59.865242,328.3800012432039,,,True,,21.261542104184628,4.126624902710319,4,25.388167006894946,,236.30391713231802,10.445208987221122,4,246.74912611953914,,18.44825013540685,4,18.44825013540685,24.935957975685596,,12.858500005677342,6.229833932593465,4,37.79445798136294,37.79445798136294,q07,7,1.0
20,2026-02-14T13:13:00.078156,178.19437570869923,,,True,,35.8734589535743,2.8406670317053795,2,38.71412598527968,,78.96366692148149,9.377290960401297,2,88.34095788188279,,19.67395795509219,2,19.67395795509219,23.584249895066023,,7.881083991378546,6.292707985267043,2,31.46533388644457,31.46533388644457,q08,8,1.0
21,2026-02-14T13:13:31.599630,31483.160249888897,,,True,,48.882750095799565,2.1964588668197393,175,51.079208962619305,,31211.965166032314,7.291583111509681,175,31219.256749143824,,47.70770785398781,175,47.70770785398781,125.2429170999676,,39.873666828498244,4.430209053680301,175,165.11658392846584,165.11658392846584,q09,9,1.0
22,2026-02-14T13:13:31.901735,266.6125011164695,,,True,,42.406874941661954,4.5588749926537275,20,46.96574993431568,,60.80575007945299,6.407208973541856,20,67.21295905299485,,62.942458083853126,20,62.942458083853126,82.45733403600752,,7.034000009298325,4.8892919439822435,20,89.49133404530585,89.49133404530585,q10,10,1.0
23,2026-02-14T13:13:32.137778,130.8232075534761,,,True,,16.567165963351727,2.1034160163253546,2,18.67058197967708,,35.40204092860222,5.289291962981224,2,40.69133289158344,,33.87820883654058,2,33.87820883654058,21.061541978269815,,16.521541867405176,3.8906249683350325,2,37.58308384567499,37.58308384567499,q12,12,1.0
24,2026-02-14T13:13:32.254281,86.27833193168044,,,True,,15.067291911691427,1.636166125535965,1,16.703458037227392,,20.343249896541238,3.5404169466346502,1,23.883666843175888,,14.907625038176775,1,14.907625038176775,16.30366616882384,,14.479915844276547,2.612333046272397,1,30.783582013100386,30.783582013100386,q14,14,1.0
