execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
22,2026-02-14T20:44:08.009386,4178.520750254393,,,True,,True,,True,,20,1030.4281248245388,,,True,,20,1765.7327088527381,20,1097.9361669160426,,46.09358310699463,6.11958303488791,20,52.21316614188254,,64.60541603155434,6.8254170473665,20,71.43083307892084,,90.73737496510148,20,90.73737496510148,,True,,True,,20,338.8718329370022,,,True,,20,621.8553329817951,20,1082.3561251163483,q10,10,,True,,True,,20,1530.646082945168,,,True,,20,2585.702999960631,20,1537.3307499103248,1.0,,True,,True,,20,15.088832937180996,,,True,,20,41.52395902201533,20,246.51633412577212
23,2026-02-14T20:44:14.874770,2203.730459790677,,,True,,True,,True,,2,399.3460419587791,,,True,,2,808.5602079518139,2,773.2345419935882,,19.680750090628862,2.611291129142046,2,22.29204121977091,,29.260208131745458,5.0116670317947865,2,34.271875163540244,,29.368167044594884,2,29.368167044594884,,True,,True,,2,241.60537496209145,,,True,,2,489.93687494657934,2,318.52912507019937,q12,12,,True,,True,,2,922.0808749087155,,,True,,2,1773.4842910431325,2,978.3130420837551,1.0,,True,,True,,2,7.62195885181427,,,True,,2,11.684209108352661,2,47.72166721522808
24,2026-02-14T20:44:19.599678,1493.9595833420753,,,True,,True,,True,,1,309.85933309420943,,,True,,1,545.9672091528773,1,313.7474169488996,,16.4280419703573,2.2309168707579374,1,18.658958841115236,,18.592041917145252,3.794916905462742,1,22.386958822607994,,26.350165950134397,1,26.350165950134397,,True,,True,,1,147.8651249781251,,,True,,1,314.1988329589367,1,440.50112506374717,q14,14,,True,,True,,1,631.8573751486838,,,True,,1,1255.1131669897586,1,639.9845408741385,1.0,,True,,True,,1,8.359792176634073,,,True,,1,6.01558294147253,1,32.33041684143245
25,2026-02-14T20:44:52.431688,10924.681750126183,,,True,,True,,True,,57,2232.469334034249,,,True,,57,3135.320708155632,57,2558.7407080456614,,51.13954097032547,4.557958105579019,57,55.69749907590449,,93.34145905449986,6.375875091180205,57,99.71733414568007,,69.92495898157358,57,69.92495898157358,,True,,True,,57,4832.891625119373,,,True,,57,7183.117249980569,57,6324.543917085975,q18,18,,True,,True,,57,1439.8007080890238,,,True,,57,2966.842208057642,57,1658.7634168099612,1.0,,True,,True,,57,59.98258292675018,,,True,,57,38.98370801471174,57,157.29391598142684
26,2026-02-14T20:45:01.544540,2567.629375727847,,,True,,True,,True,,1,296.07420903630555,,,True,,1,580.523082986474,1,342.14141708798707,,38.11720781959593,3.8114171475172043,1,41.92862496711314,,43.86266600340605,8.051333017647266,1,51.913999021053314,,42.61329211294651,1,42.61329211294651,,True,,True,,1,256.0038329102099,,,True,,1,435.0824160501361,1,518.3813339099288,q19,19,,True,,True,,1,1660.9350419603288,,,True,,1,3284.200333058834,1,1532.9325417988002,1.0,,True,,True,,1,6.330416072160006,,,True,,1,15.022792154923081,1,37.71816683001816
27,2026-02-14T20:45:50.073712,10912.25720802322,,,True,,True,,True,,4,718.7355000060052,,,True,,4,1919.787583872676,4,670.315207913518,,30.779541935771704,2.5773749221116304,4,33.356916857883334,,89.2162921372801,4.035041900351644,4,93.25133403763175,,56.46029091440141,4,56.46029091440141,,True,,True,,4,1054.85933390446,,,True,,4,3632.5787079986185,4,950.9615420829505,q01,1,,True,,True,,4,9181.783250067383,,,True,,4,21022.265790961683,4,9047.95879102312,1.0,,True,,True,,4,30.825667083263397,,,True,,4,38.31462492235005,4,59.953125193715096
28,2026-02-14T20:45:58.162697,2673.869041958824,,,True,,True,,True,,10,1031.039834022522,,,True,,10,1718.0847090203315,10,1145.2731669414788,,18.181791994720697,4.385333973914385,10,22.567125968635082,,21.905167028307915,5.418957909569144,10,27.32412493787706,,29.650041135028005,10,29.650041135028005,,True,,True,,10,220.55854205973446,,,True,,10,418.35150006227195,10,697.9690408334136,q03,3,,True,,True,,10,762.8341249655932,,,True,,10,1227.8049169108272,10,670.7118330523372,1.0,,True,,True,,10,11.843625223264098,,,True,,10,11.622041929513216,10,80.37370909005404
29,2026-02-14T20:46:20.666441,3327.638833085075,,,True,,True,,True,,5,907.2822909802198,,,True,,5,1438.8766249176115,5,1046.3587089907378,,40.199916111305356,3.3671248238533735,5,43.56704093515873,,188.7822498101741,2.622916828840971,5,191.40516663901508,,27.612916892394423,5,27.612916892394423,,True,,True,,5,1921.5162920299917,,,True,,5,3278.0745001509786,5,798.2550838496536,q04,4,,True,,True,,5,1423.1194590684026,,,True,,5,9902.301916154101,5,1124.1714579518884,1.0,,True,,True,,5,12.574583990499377,,,True,,5,277.8342498932034,5,96.26845782622695
30,2026-02-14T20:46:31.136290,2684.3347917310894,,,True,,True,,True,,5,1027.7023331727833,,,True,,5,4257.382000098005,5,1123.5646249260753,,26.975249871611595,3.0840840190649033,5,30.0593338906765,,41.12420789897442,5.506417015567422,5,46.63062491454184,,36.50562511757016,5,36.50562511757016,,True,,True,,5,169.85283279791474,,,True,,5,314.2743748612702,5,666.3776249624789,q05,5,,True,,True,,5,638.9658749103546,,,True,,5,1306.6217079758644,5,713.4495419450104,1.0,,True,,True,,5,29.78279208764434,,,True,,5,28.65120815113187,5,67.74741597473621
31,2026-02-14T20:46:35.968361,1595.9687065333128,,,True,,True,,True,,1,252.6862919330597,,,True,,1,472.6796669419855,1,346.6643749270588,,5.976124899461865,2.042457927018404,1,8.01858282648027,,12.154791969805956,2.9240408912301064,1,15.078832861036062,,12.77508307248354,1,12.77508307248354,,True,,True,,1,141.42145798541605,,,True,,1,267.738166032359,1,471.8657499179244,q06,6,,True,,True,,1,715.9223749767989,,,True,,1,1348.5160418786108,1,689.6030830685049,1.0,,True,,True,,1,7.48862512409687,,,True,,1,14.318334171548486,1,51.96299985982478
