execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,no_policy_error,no_policy_rows,no_policy_time_ms,physical_error,physical_rows,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
60,2026-02-03T12:13:49.731579,685.6889990158379,,,True,,999999,231.2597909476608,,999999,229.8154579475522,,1000000,224.6137501206249,skipped_for_multi_policy,0,0.0,1,ORDER_BY,1,2,2,,3,,11,10000,policy_threshold
61,2026-02-03T12:13:52.234892,654.6157489065081,,,True,,999999,222.2545410040766,,999999,221.17408295162022,,1000000,211.18712495081127,skipped_for_multi_policy,0,0.0,1,SELECT,2,3,2,,3,,11,10000,policy_threshold
62,2026-02-03T12:13:54.738177,647.0697508193552,,,True,,999950,218.90020789578557,,999950,219.2010839935392,,999950,208.96845893003047,skipped_for_multi_policy,0,0.0,1,WHERE,2,3,2,,3,,11,10000,policy_threshold
63,2026-02-03T12:13:58.338322,34.55175017006695,,,True,,99900,12.11420795880258,,99900,11.34066702798009,,100000,11.096875183284283,skipped_for_multi_policy,0,0.0,1,JOIN,2,3,2,100000,3,,,,join_matches
64,2026-02-03T12:14:32.908466,23.589623859152198,,,True,,1000,4.727457882836461,,1000,14.910290949046612,,1000,3.951875027269125,skipped_for_multi_policy,0,0.0,1,GROUP_BY,2,3,2,,3,1000,,,num_groups
65,2026-02-03T12:14:35.400640,687.1223316993564,,,True,,999999,231.84733279049397,,999999,231.1688328627497,,1000000,224.10616604611278,skipped_for_multi_policy,0,0.0,1,ORDER_BY,2,3,2,,3,,11,10000,policy_threshold
66,2026-02-03T12:14:37.925953,643.3909160550684,,,True,,999999,216.88141603954136,,999999,218.5383748728782,,1000000,207.97112514264882,skipped_for_multi_policy,0,0.0,1,SELECT,3,4,2,,3,,11,10000,policy_threshold
67,2026-02-03T12:14:40.434364,653.2181657385081,,,True,,999950,221.5034579858184,,999950,219.61470786482096,,999950,212.09999988786876,skipped_for_multi_policy,0,0.0,1,WHERE,3,4,2,,3,,11,10000,policy_threshold
68,2026-02-03T12:14:44.058101,34.51300016604364,,,True,,99900,12.160042067989707,,99900,11.498874984681606,,100000,10.854083113372326,skipped_for_multi_policy,0,0.0,1,JOIN,3,4,2,100000,3,,,,join_matches
69,2026-02-03T12:15:18.675214,22.60145707987249,,,True,,1000,4.615833051502705,,1000,13.43270787037909,,1000,4.552916157990694,skipped_for_multi_policy,0,0.0,1,GROUP_BY,3,4,2,,3,1000,,,num_groups
70,2026-02-03T12:15:21.164870,687.0262078009546,,,True,,999999,235.0943749770522,,999999,231.62166588008404,,1000000,220.31016694381833,skipped_for_multi_policy,0,0.0,1,ORDER_BY,3,4,2,,3,,11,10000,policy_threshold
71,2026-02-03T12:15:23.670905,648.7293331883848,,,True,,999999,220.5976250115782,,999999,219.02625006623566,,1000000,209.1054581105709,skipped_for_multi_policy,0,0.0,1,SELECT,4,5,2,,3,,11,10000,policy_threshold
72,2026-02-03T12:15:26.222404,649.1600421722978,,,True,,999950,218.5998330824077,,999950,218.5185421258211,,999950,212.041666964069,skipped_for_multi_policy,0,0.0,1,WHERE,4,5,2,,3,,11,10000,policy_threshold
73,2026-02-03T12:15:29.829481,35.87579331360757,,,True,,99900,12.189375003799796,,99900,11.633209185674787,,100000,12.05320912413299,skipped_for_multi_policy,0,0.0,1,JOIN,4,5,2,100000,3,,,,join_matches
74,2026-02-03T12:16:04.521811,25.54225013591349,,,True,,1000,5.038292147219181,,1000,15.564542030915618,,1000,4.939415957778692,skipped_for_multi_policy,0,0.0,1,GROUP_BY,4,5,2,,3,1000,,,num_groups
75,2026-02-03T12:16:07.016338,685.469790128991,,,True,,999999,231.79933289065957,,999999,230.72079103440046,,1000000,222.94966620393097,skipped_for_multi_policy,0,0.0,1,ORDER_BY,4,5,2,,3,,11,10000,policy_threshold
76,2026-02-03T12:16:09.542506,646.7992921825498,,,True,,999999,219.65724998153746,,999999,218.362667132169,,1000000,208.77937506884336,skipped_for_multi_policy,0,0.0,1,SELECT,0,1,3,,4,,101,100000,policy_threshold
77,2026-02-03T12:16:12.050518,647.714750142768,,,True,,999950,221.20008314959705,,999950,217.0015829615295,,999950,209.51308403164148,skipped_for_multi_policy,0,0.0,1,WHERE,0,1,3,,4,,101,100000,policy_threshold
78,2026-02-03T12:16:47.567714,340.3958328999579,,,True,,999900,112.23937501199543,,999900,117.60474997572601,,1000000,110.55170791223645,skipped_for_multi_policy,0,0.0,1,JOIN,0,1,3,1000000,4,,,,join_matches
79,2026-02-03T12:17:22.136295,30.343835009261966,,,True,,10000,6.6987089812755585,,10000,17.325709108263254,,10000,6.319416919723153,skipped_for_multi_policy,0,0.0,1,GROUP_BY,0,1,3,,4,10000,,,num_groups
80,2026-02-03T12:17:24.622555,682.742458069697,,,True,,999999,234.55674992874265,,999999,232.35220811329782,,1000000,215.83350002765656,skipped_for_multi_policy,0,0.0,1,ORDER_BY,0,1,3,,4,,101,100000,policy_threshold
81,2026-02-03T12:17:27.104143,629.6740821562707,,,True,,999999,214.55162507481873,,999999,213.04191602393985,,1000000,202.08054105751216,skipped_for_multi_policy,0,0.0,1,SELECT,1,2,3,,4,,101,100000,policy_threshold
82,2026-02-03T12:17:29.580573,629.198543028906,,,True,,999950,212.224334012717,,999950,213.17716711200774,,999950,203.79704190418124,skipped_for_multi_policy,0,0.0,1,WHERE,1,2,3,,4,,101,100000,policy_threshold
83,2026-02-03T12:18:05.344599,340.09325015358627,,,True,,999900,113.93704218789935,,999900,116.32200004532933,,1000000,109.83420792035758,skipped_for_multi_policy,0,0.0,1,JOIN,1,2,3,1000000,4,,,,join_matches
84,2026-02-03T12:18:39.978050,31.835708767175674,,,True,,10000,7.376417052000761,,10000,17.86154182627797,,10000,6.597749888896942,skipped_for_multi_policy,0,0.0,1,GROUP_BY,1,2,3,,4,10000,,,num_groups
85,2026-02-03T12:18:42.449999,674.8748330865055,,,True,,999999,227.4557501077652,,999999,227.92687499895692,,1000000,219.49220797978342,skipped_for_multi_policy,0,0.0,1,ORDER_BY,1,2,3,,4,,101,100000,policy_threshold
