execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,policy_count,query_name,query_num,tpch_sf
34,2026-02-03T15:26:26.802965,4802.7859586291015,,,True,,447.5489999167621,3231.483083916828,175,3679.03208383359,,221.79433307610452,864.2682088539004,175,1086.062541930005,,37.69133286550641,175,37.69133286550641,1000,q09,9,1.0
35,2026-02-03T15:26:30.786369,1070.2865824569017,,,True,,32.69224986433983,4.052457865327597,20,36.744707729667425,,130.43549982830882,860.4130828753114,20,990.8485827036202,,42.69329202361405,20,42.69329202361405,1000,q10,10,1.0
36,2026-02-03T15:26:38.067273,4400.359458755702,,,True,,94.6761250961572,3289.6427498199046,2,3384.3188749160618,,112.53975005820394,892.4137919675559,2,1004.9535420257598,,11.087041813880205,2,11.087041813880205,1000,q12,12,1.0
37,2026-02-03T15:26:45.235230,4294.796251226217,,,True,,87.38458412699401,3208.1308751367033,1,3295.5154592636973,,89.59387498907745,900.1829999033362,1,989.7768748924136,,9.503917070105672,1,9.503917070105672,1000,q14,14,1.0
38,2026-02-03T15:26:50.361877,2128.0456667300314,,,True,,46.90804099664092,4.080332815647125,57,50.988373812288046,,463.4200839791447,1572.2695419099182,57,2035.6896258890629,,41.367667028680444,57,41.367667028680444,1000,q18,18,1.0
39,2026-02-03T15:26:57.643613,4334.846166661009,,,True,,81.29599993117154,3244.2762090358883,1,3325.57220896706,,88.07212486863136,902.0632079336792,1,990.1353328023106,,19.138624891638756,1,19.138624891638756,1000,q19,19,1.0
40,2026-02-03T15:27:08.580742,8092.132332269102,,,True,,1936.4005830138922,3155.2791660651565,4,5091.679749079049,,2047.7111251093447,927.3527080658823,4,2975.063833175227,,25.388750014826655,4,25.388750014826655,1000,q01,1,1.0
41,2026-02-03T15:27:12.549233,1018.9360829535872,,,True,,14.151833020150661,3.5452500451356173,10,17.69708306528628,,101.43404197879136,885.2077079936862,10,986.6417499724776,,14.59724991582334,10,14.59724991582334,1000,q03,3,1.0
42,2026-02-03T15:27:32.297828,16894.126791972667,,,True,,10926.112041110173,5062.656749971211,0,15988.768791081384,,125.78779202885926,763.6600839905441,0,889.4478760194033,,15.910124871879816,5,15.910124871879816,1000,q04,4,1.0
43,2026-02-03T15:27:39.609991,4395.359290763736,,,True,,98.05170795880258,3248.6598750110716,5,3346.711582969874,,97.76237490586936,925.605749944225,5,1023.3681248500943,,25.27958294376731,5,25.27958294376731,1000,q05,5,1.0
44,2026-02-03T15:27:46.852934,4413.053417345509,,,True,,256.0901250690222,3163.8178329449147,1,3419.907958013937,,88.81812519393861,898.3754171058536,1,987.1935422997922,,5.951917031779885,1,5.951917031779885,1000,q06,6,1.0
45,2026-02-03T15:27:54.105367,4331.838209182024,,,True,,99.67687516473234,3193.572500022128,4,3293.2493751868606,,116.20658403262496,907.9513340257108,4,1024.1579180583358,,14.43091593682766,4,14.43091593682766,1000,q07,7,1.0
46,2026-02-03T15:28:01.323923,4347.455250332132,,,True,,71.29645813256502,3270.326209021732,2,3341.6226671542972,,86.24195819720626,901.4544999226928,2,987.696458119899,,18.136125057935715,2,18.136125057935715,1000,q08,8,1.0
47,2026-02-03T15:28:08.979184,4818.157916190103,,,True,,418.0562081746757,3286.1335829366,175,3704.1897911112756,,217.53491694107652,860.0905830971897,175,1077.6255000382662,,36.34262504056096,175,36.34262504056096,1000,q09,9,1.0
48,2026-02-03T15:28:12.965900,1055.479041999206,,,True,,31.199750024825335,3.989916993305087,20,35.18966701813042,,121.38079199939966,860.7000829651952,20,982.0808749645948,,38.208500016480684,20,38.208500016480684,1000,q10,10,1.0
49,2026-02-03T15:28:20.182025,4300.153749762103,,,True,,92.6095419563353,3196.876124944538,2,3289.485666900873,,106.16345796734095,892.5524998921901,2,998.715957859531,,11.952125001698732,2,11.952125001698732,1000,q12,12,1.0
50,2026-02-03T15:28:27.419743,4365.277416771278,,,True,,87.27520890533924,3275.754624977708,1,3363.029833883047,,88.22066686116159,905.0182909704745,1,993.2389578316361,,9.00862505659461,1,9.00862505659461,1000,q14,14,1.0
51,2026-02-03T15:28:32.484844,2210.2290000766516,,,True,,78.92683404497802,3.989999881014228,57,82.91683392599225,,454.7275830991566,1633.278583176434,57,2088.0061662755907,,39.305999875068665,57,39.305999875068665,1000,q18,18,1.0
52,2026-02-03T15:28:39.766395,4430.329957976937,,,True,,82.12091703899205,3322.334541939199,1,3404.455458978191,,93.85483292862773,911.4361661486328,1,1005.2909990772605,,20.58349992148578,1,20.58349992148578,1000,q19,19,1.0
53,2026-02-03T15:28:50.790885,8094.168956857175,,,True,,1993.8037500251085,3114.374333061278,4,5108.178083086386,,2057.9327908344567,899.7292078565806,4,2957.6619986910373,,28.328875079751015,4,28.328875079751015,1000,q01,1,1.0
54,2026-02-03T15:28:54.693010,998.0234182439744,,,True,,13.97933391854167,3.6606250796467066,10,17.639958998188376,,102.26979199796915,864.5007500890642,10,966.7705420870334,,13.61291715875268,10,13.61291715875268,1000,q03,3,1.0
55,2026-02-03T15:29:14.565954,16937.79420852661,,,True,,10947.216875152662,5074.426167178899,0,16021.643042331561,,127.66012502834201,773.2979161664844,0,900.9580411948264,,15.193125000223517,5,15.193125000223517,1000,q04,4,1.0
56,2026-02-03T15:29:21.831231,4408.813875867054,,,True,,100.46341689303517,3266.1722919438034,5,3366.6357088368386,,100.06708395667374,917.0715410728008,5,1017.1386250294745,,25.039542000740767,5,25.039542000740767,1000,q05,5,1.0
57,2026-02-03T15:29:29.155745,4392.597165657207,,,True,,286.316541954875,3112.829125020653,1,3399.145666975528,,87.58375002071261,899.0724578034133,1,986.6562078241259,,6.795290857553482,1,6.795290857553482,1000,q06,6,1.0
58,2026-02-03T15:29:36.447721,4407.392998924479,,,True,,101.51299997232854,3233.65837498568,4,3335.1713749580085,,95.56066710501909,961.9207908399403,4,1057.4814579449594,,14.740166021510959,4,14.740166021510959,1000,q07,7,1.0
59,2026-02-03T15:29:43.645622,4338.822917081416,,,True,,73.50679207593203,3220.692333066836,2,3294.199125142768,,90.56479204446077,933.7522080168128,2,1024.3170000612736,,20.306791877374053,2,20.306791877374053,1000,q08,8,1.0
60,2026-02-03T15:29:51.355970,4813.100290717557,,,True,,417.24983300082386,3263.905332889408,175,3681.1551658902317,,226.30979190580547,867.334249895066,175,1093.6440418008715,,38.30108302645385,175,38.30108302645385,1000,q09,9,1.0
61,2026-02-03T15:29:55.338398,1068.9121678005904,,,True,,31.11791703850031,4.126958781853318,20,35.24487582035363,,124.34724997729063,868.1973749771714,20,992.544624954462,,41.12266702577472,20,41.12266702577472,1000,q10,10,1.0
62,2026-02-03T15:30:02.570135,4345.210874918848,,,True,,93.96162489429116,3240.2635840699077,2,3334.225208964199,,106.27637500874698,892.8060000762343,2,999.0823750849813,,11.903290869668126,2,11.903290869668126,1000,q12,12,1.0
63,2026-02-03T15:30:09.759199,4324.661040911451,,,True,,89.10708292387426,3197.109708096832,1,3286.2167910207063,,98.25654188171029,931.0169168747962,1,1029.2734587565064,,9.170791134238243,1,9.170791134238243,1000,q14,14,1.0
64,2026-02-03T15:30:14.814417,2142.052208073437,,,True,,49.27708301693201,4.681832855567336,57,53.95891587249935,,450.40912507101893,1595.721042016521,57,2046.13016708754,,41.96312511339784,57,41.96312511339784,1000,q18,18,1.0
65,2026-02-03T15:30:22.075683,4340.527456952259,,,True,,78.48004205152392,3236.9909579865634,1,3315.4710000380874,,88.03016599267721,918.4155410621315,1,1006.4457070548087,,18.61074985936284,1,18.61074985936284,1000,q19,19,1.0
