execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
11,2026-02-04T21:42:49.759390,33.3466671872884,,,True,,8.812166983261704,1.329875085502863,1,10.142042068764567,,12.515250127762556,2.642124891281128,1,15.157375019043684,,8.047250099480152,1,8.047250099480152,q14,14,1.0
12,2026-02-04T21:42:49.901095,138.51608289405704,,,True,,36.18020797148347,3.8026669062674046,57,39.982874877750874,,64.27924986928701,3.8616249803453684,57,68.14087484963238,,30.39233316667378,57,30.39233316667378,q18,18,1.0
13,2026-02-04T21:42:49.983639,79.39512468874454,,,True,,18.44445802271366,3.3377499785274267,1,21.782208001241088,,32.94795798137784,6.2377918511629105,1,39.18574983254075,,18.427166854962707,1,18.427166854962707,q19,19,1.0
14,2026-02-04T21:42:50.116964,130.26879099197686,,,True,,25.12112515978515,1.5878749545663595,4,26.70900011435151,,75.84062498062849,4.005624912679195,4,79.84624989330769,,23.71354098431766,4,23.71354098431766,q01,1,1.0
15,2026-02-04T21:42:50.162467,42.308042058721185,,,True,,10.896124877035618,3.183291992172599,10,14.079416869208217,,13.37870815768838,4.430917091667652,10,17.80962524935603,,10.418999940156937,10,10.418999940156937,q03,3,1.0
16,2026-02-04T21:42:50.294746,129.24112495966256,,,True,,34.9284999538213,2.225874923169613,5,37.154374876990914,,77.17874995432794,2.423916943371296,5,79.60266689769924,,12.484083184972405,5,12.484083184972405,q04,4,1.0
17,2026-02-04T21:42:50.352218,54.328292375430465,,,True,,12.574749998748302,1.7931670881807804,5,14.367917086929083,,24.043000070378184,4.07616700977087,5,28.119167080149055,,11.841208208352327,5,11.841208208352327,q05,5,1.0
18,2026-02-04T21:42:50.373482,18.312583910301328,,,True,,3.444999922066927,1.0002090130001307,1,4.445208935067058,,8.21566698141396,2.017625141888857,1,10.233292123302817,,3.6340828519314528,1,3.6340828519314528,q06,6,1.0
19,2026-02-04T21:42:50.435324,58.83654206991196,,,True,,13.686750084161758,2.55033397115767,4,16.23708405531943,,22.038792027160525,7.476666010916233,4,29.51545803807676,,13.08399997651577,4,13.08399997651577,q07,7,1.0
20,2026-02-04T21:42:50.500171,61.802666867151856,,,True,,14.883291907608509,2.445083111524582,2,17.32837501913309,,24.901333963498473,6.003499962389469,2,30.904833925887942,,13.569457922130823,2,13.569457922130823,q08,8,1.0
21,2026-02-04T21:42:50.631572,128.2294592820108,,,True,,31.562625197693706,1.8314169719815254,175,33.39404216967523,,58.70737507939339,4.798334091901779,175,63.505709171295166,,31.329707941040397,175,31.329707941040397,q09,9,1.0
22,2026-02-04T21:42:50.739486,104.83766603283584,,,True,,27.4658331181854,3.791957860812545,20,31.257790978997946,,41.88495804555714,5.914916982874274,20,47.799875028431416,,25.78000002540648,20,25.78000002540648,q10,10,1.0
23,2026-02-04T21:42:50.791433,48.88224904425442,,,True,,10.958707891404629,1.7900001257658005,2,12.74870801717043,,21.737208124250174,4.074374912306666,2,25.81158303655684,,10.321957990527153,2,10.321957990527153,q12,12,1.0
24,2026-02-04T21:42:50.830353,35.8405823353678,,,True,,9.148708079010248,1.346541102975607,1,10.495249181985855,,14.027792029082775,2.782791154459119,1,16.810583183541894,,8.53474996984005,1,8.53474996984005,q14,14,1.0
25,2026-02-04T21:42:50.973031,139.6173748653382,,,True,,39.475583005696535,3.7959578912705183,57,43.27154089696705,,61.10629206523299,3.6652919370681047,57,64.7715840023011,,31.574249966070056,57,31.574249966070056,q18,18,1.0
26,2026-02-04T21:42:51.053584,77.5009582284838,,,True,,19.069291185587645,3.3596670255064964,1,22.42895821109414,,31.392041826620698,6.201124982908368,1,37.593166809529066,,17.47883320786059,1,17.47883320786059,q19,19,1.0
27,2026-02-04T21:42:51.181406,124.71474916674197,,,True,,24.04362498782575,1.625915989279747,4,25.6695409771055,,71.58725010231137,3.939666086807847,4,75.52691618911922,,23.51829200051725,4,23.51829200051725,q01,1,1.0
28,2026-02-04T21:42:51.226797,42.27470909245312,,,True,,11.632417095825076,3.1673749908804893,10,14.799792086705565,,13.705292018130422,3.7597918417304754,10,17.465083859860897,,10.00983314588666,10,10.00983314588666,q03,3,1.0
29,2026-02-04T21:42:51.366034,136.22287521138787,,,True,,34.41229206509888,2.8983750380575657,5,37.31066710315645,,84.17562511749566,2.3937078658491373,5,86.5693329833448,,12.342875124886632,5,12.342875124886632,q04,4,1.0
30,2026-02-04T21:42:51.424739,55.513124680146575,,,True,,12.962832814082503,1.697584055364132,5,14.660416869446635,,24.507208028808236,4.137124866247177,5,28.644332895055413,,12.208374915644526,5,12.208374915644526,q05,5,1.0
31,2026-02-04T21:42:51.447207,19.41083208657801,,,True,,4.162624944001436,1.095375046133995,1,5.257999990135431,,8.64029093645513,2.0359160844236612,1,10.676207020878792,,3.4766250755637884,1,3.4766250755637884,q06,6,1.0
32,2026-02-04T21:42:51.508894,58.65345918573439,,,True,,14.028959209099412,2.561749890446663,4,16.590709099546075,,22.327041951939464,6.676958175376058,4,29.00400012731552,,13.058749958872795,4,13.058749958872795,q07,7,1.0
33,2026-02-04T21:42:51.576545,64.68991586007178,,,True,,14.455166878178716,2.946124877780676,2,17.40129175595939,,27.983332984149456,6.180500146001577,2,34.16383313015103,,13.124790973961353,2,13.124790973961353,q08,8,1.0
