execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_num,variation_join_count
11,2026-02-15T00:16:01.611872,8.859375026077032,,,True,1.7093748319894075,38.601750042289495,5,40.3111248742789,1,2.3815000895410776,True,,75.7369170896709,5,78.11841717921197,0.539249973371625,5,0.539249973371625,1.8963331822305918,,4.229250131174922,2.33291694894433,True,,35.74800002388656,5,4.229250131174922,4.229250131174922,100,JOIN_GROUP_BY,1,1
12,2026-02-15T00:16:02.066595,8.796415757387877,,,True,1.862207893282175,38.47270808182657,5,40.33491597510874,1,2.320165978744626,True,,60.254624811932445,5,62.57479079067707,0.5387919954955578,5,0.5387919954955578,1.7772919964045286,,4.075249889865518,2.297957893460989,True,,54.793500108644366,5,4.075249889865518,4.075249889865518,100,JOIN_GROUP_BY,2,1
13,2026-02-15T00:16:02.517207,9.006001055240631,,,True,1.8186669331043959,38.13983406871557,5,39.95850100181997,1,2.3487089201807976,True,,60.20287494175136,5,62.55158386193216,0.513874925673008,5,0.513874925673008,2.0370841957628727,,4.32475027628243,2.287666080519557,True,,53.08166611939669,5,4.32475027628243,4.32475027628243,100,JOIN_GROUP_BY,3,1
14,2026-02-15T00:16:02.947761,9.09066735766828,,,True,1.8363751005381346,38.375417003408074,5,40.21179210394621,1,2.349250018596649,True,,60.1970839779824,5,62.54633399657905,0.5095421802252531,5,0.5095421802252531,1.901749987155199,,4.395500058308244,2.4937500711530447,True,,35.65420815721154,5,4.395500058308244,4.395500058308244,100,JOIN_GROUP_BY,4,1
15,2026-02-15T00:16:03.398632,9.12408297881484,,,True,1.7138340044766665,38.31070801243186,5,40.024542016908526,1,2.360332990065217,True,,60.80908281728625,5,63.16941580735147,0.5922908894717693,5,0.5922908894717693,1.8826250452548265,,4.4576250948011875,2.575000049546361,True,,38.71391690336168,5,4.4576250948011875,4.4576250948011875,100,JOIN_GROUP_BY,5,1
16,2026-02-15T00:16:03.480345,6.643918110057712,,,True,0.7840839680284262,0.9861248545348644,5,1.7702088225632906,2,1.6122090164572,True,,3.019999945536256,5,4.632208961993456,0.7713749073445797,5,0.7713749073445797,2.2192501928657293,,3.4762502182275057,1.2570000253617764,True,,2.0901658572256565,5,3.4762502182275057,3.4762502182275057,1,JOIN_GROUP_BY,1,2
17,2026-02-15T00:16:03.514207,6.510833743959665,,,True,0.6839998532086611,1.002750126644969,5,1.68674997985363,2,1.5792089980095625,True,,3.4887080546468496,5,5.067917052656412,0.8290419355034828,5,0.8290419355034828,2.114332979544997,,3.418582957237959,1.3042499776929617,True,,2.0957908127456903,5,3.418582957237959,3.418582957237959,1,JOIN_GROUP_BY,2,2
18,2026-02-15T00:16:03.547745,6.352751050144434,,,True,0.7412498816847801,0.9526670910418034,5,1.6939169727265835,2,1.4920001849532127,True,,2.9006660915911198,5,4.3926662765443325,0.7874169386923313,5,0.7874169386923313,2.142708981409669,,3.33208404481411,1.1893750634044409,True,,2.179000061005354,5,3.33208404481411,3.33208404481411,1,JOIN_GROUP_BY,3,2
19,2026-02-15T00:16:03.580740,6.167999934405088,,,True,0.7177919615060091,0.9265001863241196,5,1.6442921478301287,2,1.5239580534398556,True,,2.9767078813165426,5,4.500665934756398,0.6981249898672104,5,0.6981249898672104,2.0574999507516623,,3.2281249295920134,1.170624978840351,True,,2.1312080789357424,5,3.2281249295920134,3.2281249295920134,1,JOIN_GROUP_BY,4,2
20,2026-02-15T00:16:03.613507,6.261041387915611,,,True,0.687750056385994,0.9277090430259705,5,1.6154590994119644,2,1.4926251024007797,True,,3.024167148396373,5,4.5167922507971525,0.6929170340299606,5,0.6929170340299606,2.250958001241088,,3.387749195098877,1.136791193857789,True,,2.1350830793380737,5,3.387749195098877,3.387749195098877,1,JOIN_GROUP_BY,5,2
21,2026-02-15T00:16:03.700759,7.363793207332492,,,True,1.219291938468814,19.355916883796453,5,20.575208822265267,2,1.852292101830244,True,,8.336042053997517,5,10.18833415582776,0.728958984836936,5,0.728958984836936,2.2176671773195267,,3.563250182196498,1.3455830048769712,True,,6.054166005924344,5,3.563250182196498,3.563250182196498,10,JOIN_GROUP_BY,1,2
22,2026-02-15T00:16:03.770955,7.151748985052109,,,True,0.9719999507069588,2.976791001856327,5,3.948790952563286,2,1.8414580263197422,True,,8.42333398759365,5,10.264792013913393,0.8777501061558723,5,0.8777501061558723,2.3672080133110285,,3.4605409018695354,1.093332888558507,True,,5.589042091742158,5,3.4605409018695354,3.4605409018695354,10,JOIN_GROUP_BY,2,2
23,2026-02-15T00:16:03.840383,6.915916223078966,,,True,0.8101249113678932,2.82475003041327,5,3.634874941781163,2,2.0630410872399807,True,,8.541750023141503,5,10.604791110381484,0.7860830519348383,5,0.7860830519348383,2.1610830444842577,,3.256667172536254,1.0955841280519962,True,,5.404249997809529,5,3.256667172536254,3.256667172536254,10,JOIN_GROUP_BY,3,2
24,2026-02-15T00:16:03.911488,6.89695798791945,,,True,0.8575830142945051,2.8495839796960354,5,3.7071669939905405,2,1.7918329685926437,True,,8.48187506198883,5,10.273708030581474,0.8022089023143053,5,0.8022089023143053,2.176875015720725,,3.4453331027179956,1.2684580869972706,True,,5.864333128556609,5,3.4453331027179956,3.4453331027179956,10,JOIN_GROUP_BY,4,2
25,2026-02-15T00:16:03.981259,6.981081794947386,,,True,0.8138329721987247,2.798957983031869,5,3.6127909552305937,2,1.8995408900082111,True,,8.47312482073903,5,10.372665710747242,0.7724168244749308,5,0.7724168244749308,2.098666038364172,,3.495291108265519,1.3966250699013472,True,,5.751957884058356,5,3.495291108265519,3.495291108265519,10,JOIN_GROUP_BY,5,2
26,2026-02-15T00:16:04.443954,10.167873930186033,,,True,1.899207942187786,39.008916821330786,5,40.90812476351857,2,2.885207999497652,True,,61.298291897401214,5,64.18349989689887,0.8041250985115767,5,0.8041250985115767,2.3233748506754637,,4.579332889989018,2.2559580393135548,True,,53.154957946389914,5,4.579332889989018,4.579332889989018,100,JOIN_GROUP_BY,1,2
27,2026-02-15T00:16:04.883682,10.39045862853527,,,True,2.028124872595072,39.45729183033109,5,41.48541670292616,2,3.015166847035289,True,,61.686916975304484,5,64.70208382233977,0.8258749730885029,5,0.8258749730885029,2.199457958340645,,4.521291935816407,2.3218339774757624,True,,37.8883748780936,5,4.521291935816407,4.521291935816407,100,JOIN_GROUP_BY,2,2
28,2026-02-15T00:16:05.340241,10.144792264327407,,,True,1.9616251811385155,39.733000099658966,5,41.69462528079748,2,2.8632921166718006,True,,60.572125017642975,5,63.435417134314775,0.7906670216470957,5,0.7906670216470957,2.284291898831725,,4.529207944869995,2.24491604603827,True,,36.92108392715454,5,4.529207944869995,4.529207944869995,100,JOIN_GROUP_BY,3,2
29,2026-02-15T00:16:05.792354,10.265707038342953,,,True,1.928666140884161,39.56208401359618,5,41.49075015448034,2,2.908832859247923,True,,59.82858408242464,5,62.737416941672564,0.9188330732285976,5,0.9188330732285976,2.2443749476224184,,4.509374964982271,2.265000017359853,True,,36.5599999204278,5,4.509374964982271,4.509374964982271,100,JOIN_GROUP_BY,4,2
30,2026-02-15T00:16:06.243449,10.150791145861149,,,True,1.9580831285566092,55.20441709086299,5,57.1625002194196,2,2.8468749951571226,True,,59.729167027398944,5,62.57604202255607,0.8684999775141478,5,0.8684999775141478,2.2819580044597387,,4.477333044633269,2.1953750401735306,True,,38.771500112488866,5,4.477333044633269,4.477333044633269,100,JOIN_GROUP_BY,5,2
31,2026-02-15T00:16:06.332887,9.895749855786562,,,True,1.3464170042425394,1.3744579628109932,5,2.7208749670535326,4,2.945167012512684,True,,4.701999947428703,5,7.647166959941387,1.443582819774747,5,1.443582819774747,3.129916964098811,,4.160583019256592,1.0306660551577806,True,,2.8780831489712,5,4.160583019256592,4.160583019256592,1,JOIN_GROUP_BY,1,4
32,2026-02-15T00:16:06.371104,9.848000016063452,,,True,1.3077910989522934,1.2771659530699253,5,2.5849570520222187,4,3.1802088487893343,True,,3.8847499527037144,5,7.064958801493049,1.415165839716792,5,1.415165839716792,3.0151670798659325,,3.944834228605032,0.9296671487390995,True,,2.8116251341998577,5,3.944834228605032,3.944834228605032,1,JOIN_GROUP_BY,2,4
33,2026-02-15T00:16:06.410379,9.954499080777168,,,True,1.6623330302536488,1.1925420258194208,5,2.8548750560730696,4,3.131540957838297,True,,4.212207859382033,5,7.34374881722033,1.2725000269711018,5,1.2725000269711018,2.9728340450674295,,3.888125065714121,0.9152910206466913,True,,3.180125029757619,5,3.888125065714121,3.888125065714121,1,JOIN_GROUP_BY,3,4
34,2026-02-15T00:16:06.448991,9.817997692152858,,,True,1.2747908476740122,1.423124922439456,5,2.697915770113468,4,2.985958009958267,True,,3.934625070542097,5,6.920583080500364,1.4116659294813871,5,1.4116659294813871,3.040415933355689,,4.145582905039191,1.1051669716835022,True,,2.8828331269323826,5,4.145582905039191,4.145582905039191,1,JOIN_GROUP_BY,4,4
35,2026-02-15T00:16:06.487443,9.658916154876351,,,True,1.2889159843325615,1.2981249019503593,5,2.587040886282921,4,3.3058749977499247,True,,4.060124978423119,5,7.365999976173043,1.2348750606179237,5,1.2348750606179237,2.9180829878896475,,3.8292501121759415,0.911167124286294,True,,2.7422921266406775,5,3.8292501121759415,3.8292501121759415,1,JOIN_GROUP_BY,5,4
36,2026-02-15T00:16:06.564882,10.736248921602964,,,True,1.4065830036997795,3.839291865006089,5,5.245874868705869,4,3.5288329236209393,True,,9.552208008244634,5,13.081040931865573,1.5094999689608812,5,1.5094999689608812,2.9849170241504908,,4.291333025321364,1.3064160011708736,True,,6.671875016763806,5,4.291333025321364,4.291333025321364,10,JOIN_GROUP_BY,1,4
37,2026-02-15T00:16:06.657902,11.003584833815694,,,True,1.480999868363142,3.7496250588446856,5,5.230624927207828,4,3.8582920096814632,True,,25.845249881967902,5,29.703541891649365,1.5988340601325035,5,1.5988340601325035,3.0167498625814915,,4.065458895638585,1.0487090330570936,True,,6.370750023052096,5,4.065458895638585,4.065458895638585,10,JOIN_GROUP_BY,2,4
