execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
14,2026-02-10T09:52:54.234562,273.07812380604446,,,True,,54.43787481635809,2.197124995291233,4,56.63499981164932,,122.23537499085069,3.805540967732668,4,126.04091595858335,,47.49304102733731,4,47.49304102733731,q01,1,1.0,,True,,True,,4,31.20324993506074,,,True,,4,39.20170897617936,4,42.90916700847447
15,2026-02-10T09:52:54.353747,90.20500117912889,,,True,,20.461332984268665,3.3391250763088465,10,23.800458060577512,,32.15324995107949,3.7292090710252523,10,35.88245902210474,,22.36379194073379,10,22.36379194073379,q03,3,1.0,,True,,True,,10,6.408374989405274,,,True,,10,10.162833845242858,10,8.158292155712843
16,2026-02-10T09:52:54.699233,208.64837430417538,,,True,,47.6263330783695,2.4906250182539225,5,50.11695809662342,,113.57591603882611,2.4383750278502703,5,116.01429106667638,,20.715667167678475,5,20.715667167678475,q04,4,1.0,,True,,True,,5,7.374749984592199,,,True,,5,118.6727921012789,5,21.801457973197103
17,2026-02-10T09:52:54.839996,105.86133389733732,,,True,,22.926250007003546,1.8610418774187565,5,24.787291884422302,,42.27387486025691,5.0085000693798065,5,47.28237492963672,,26.769625023007393,5,26.769625023007393,q05,5,1.0,,True,,True,,5,6.943666143342853,,,True,,5,16.014334047213197,5,7.0220420602709055
18,2026-02-10T09:52:54.889587,32.70329046063125,,,True,,6.296791834756732,1.0962497908622026,1,7.393041625618935,,13.266124995425344,2.5239160750061274,1,15.79004107043147,,6.626124959439039,1,6.626124959439039,q06,6,1.0,,True,,True,,1,3.5972909536212683,,,True,,1,3.2477090135216713,1,2.8940828051418066
19,2026-02-10T09:52:55.302657,371.8560005072504,,,True,,55.254834005609155,2.7366247959434986,4,57.99145880155265,,235.56720884516835,7.98762496560812,4,243.55483381077647,,50.133165903389454,4,50.133165903389454,q07,7,1.0,,True,,True,,4,9.528083028271794,,,True,,4,22.246750071644783,4,20.17654199153185
20,2026-02-10T09:52:55.579468,159.92258279584348,,,True,,21.41795796342194,2.4107499048113823,2,23.828707868233323,,77.22350000403821,7.910917047411203,2,85.13441705144942,,19.998583011329174,2,19.998583011329174,q08,8,1.0,,True,,True,,2,24.697083048522472,,,True,,2,82.35049992799759,2,30.960874864831567
21,2026-02-10T09:53:23.015680,27336.189458379522,,,True,,51.44454212859273,1.8418750260025263,175,53.286417154595256,,27028.49133312702,5.4681249894201756,175,27033.959458116442,,52.47470806352794,175,52.47470806352794,q09,9,1.0,,True,,True,,175,25.612416910007596,,,True,,175,57.84233286976814,175,196.4688750449568
22,2026-02-10T09:53:23.378699,310.1243758574128,,,True,,77.1121671423316,6.476499838754535,20,83.58866698108613,,101.31929186172783,5.577292060479522,20,106.89658392220736,,83.94195907749236,20,83.94195907749236,q10,10,1.0,,True,,True,,20,11.146333068609238,,,True,,20,22.812082897871733,20,35.69716587662697
23,2026-02-10T09:53:23.511640,104.24383403733373,,,True,,22.969790967181325,2.059041988104582,2,25.028832955285907,,40.57066701352596,4.0642088279128075,2,44.63487584143877,,23.285833187401295,2,23.285833187401295,q12,12,1.0,,True,,True,,2,6.067375186830759,,,True,,2,10.705749969929457,2,11.294292053207755
24,2026-02-10T09:53:23.598790,69.07945754937828,,,True,,17.490499885752797,2.347875153645873,1,19.83837503939867,,25.05183289758861,2.895791782066226,1,27.947624679654837,,17.779374960809946,1,17.779374960809946,q14,14,1.0,,True,,True,,1,3.5295002162456512,,,True,,1,4.38633281737566,1,3.514082869514823
25,2026-02-10T09:53:24.068173,393.1202916428447,,,True,,51.12008284777403,4.575874889269471,57,55.6959577370435,,155.42204212397337,3.817124990746379,57,159.23916711471975,,109.03637483716011,57,109.03637483716011,q18,18,1.0,,True,,True,,57,35.109249874949455,,,True,,57,29.168499866500497,57,69.14879195392132
26,2026-02-10T09:53:24.211969,118.57479112222791,,,True,,27.548874961212277,3.04283294826746,1,30.591707909479737,,48.111458076164126,7.391917053610086,1,55.50337512977421,,26.571166003122926,1,26.571166003122926,q19,19,1.0,,True,,True,,1,4.478583112359047,,,True,,1,8.503583027049899,1,5.908542079851031
27,2026-02-10T09:53:24.562151,273.2049997430295,,,True,,50.52320891991258,2.549415919929743,4,53.07262483984232,,120.16787496395409,4.335999954491854,4,124.50387491844594,,47.319666016846895,4,47.319666016846895,q01,1,1.0,,True,,True,,4,31.836875015869737,,,True,,4,35.07883311249316,4,48.308833967894316
