execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_error,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
11,2026-02-03T21:34:46.927182,245.29462424106896,,,True,,11.205916991457343,2.5048330426216125,1,13.710750034078956,,14.431582996621728,3.8723330944776535,1,18.30391609109938,,15.307500027120113,1,15.307500027120113,,True,,1,197.9724580887705,q14,14,1.0
12,2026-02-03T21:35:02.893168,15942.970624892041,,,True,,39.86583393998444,4.500999813899398,57,44.36683375388384,,64.73637511953712,3.7557079922407866,57,68.4920831117779,,41.66912497021258,57,41.66912497021258,,True,,57,15788.442583056167,q18,18,1.0
13,2026-02-03T21:35:03.508768,601.3540006242692,,,True,,22.638249909505248,4.552582977339625,1,27.190832886844873,,42.96516696922481,8.18929192610085,1,51.15445889532566,,28.018208919093013,1,28.018208919093013,,True,,1,494.9904999230057,q19,19,1.0
14,2026-02-03T21:35:04.814707,1297.2413753159344,,,True,,29.260208131745458,1.8255000468343496,4,31.085708178579807,,82.4219579808414,4.180042073130608,4,86.602000053972,,38.23308297432959,4,38.23308297432959,,True,,4,1141.320584109053,q01,1,1.0
15,2026-02-03T21:35:05.212913,386.8072498589754,,,True,,14.510582899674773,4.080167040228844,10,18.590749939903617,,20.598999923095107,4.3441669549793005,10,24.943166878074408,,20.38454101420939,10,20.38454101420939,,True,,10,322.888792026788,q03,3,1.0
16,2026-02-03T21:35:06.091047,858.9949605520815,,,True,,34.41341710276902,3.240125020965934,5,37.65354212373495,,94.90087511949241,2.612625015899539,5,97.51350013539195,,36.85308410786092,5,36.85308410786092,,True,,5,686.9748341850936,q04,4,1.0
17,2026-02-03T21:35:06.510458,409.3461672309786,,,True,,15.135708032175899,3.5303339827805758,5,18.666042014956474,,25.38679214194417,4.298333078622818,5,29.685125220566988,,16.84150006622076,5,16.84150006622076,,True,,5,344.1534999292344,q05,5,1.0
18,2026-02-03T21:35:06.745887,222.6103749126196,,,True,,6.550792139023542,1.5138748567551374,1,8.06466699577868,,11.121999938040972,2.498749876394868,1,13.62074981443584,,9.424749994650483,1,9.424749994650483,,True,,1,191.5002081077546,q06,6,1.0
19,2026-02-03T21:35:07.112437,354.71416637301445,,,True,,17.60733313858509,3.2422919757664204,4,20.84962511435151,,24.33712501078844,8.952582953497767,4,33.28970796428621,,21.23570814728737,4,21.23570814728737,,True,,4,279.33912514708936,q07,7,1.0
20,2026-02-03T21:35:07.436133,318.25220957398415,,,True,,19.48854187503457,2.9420829378068447,2,22.430624812841415,,28.573958901688457,9.492708835750818,2,38.066667737439275,,26.733417063951492,2,26.733417063951492,,True,,2,231.02149995975196,q08,8,1.0
21,2026-02-03T21:35:08.550968,1098.3150012325495,,,True,,42.065625078976154,2.3842500522732735,175,44.44987513124943,,82.32112508267164,5.558625096455216,175,87.87975017912686,,57.67170898616314,175,57.67170898616314,,True,,175,908.3136669360101,q09,9,1.0
22,2026-02-03T21:35:09.132600,570.7582500763237,,,True,,32.26799983531237,4.7021659556776285,20,36.970165790989995,,41.28720820881426,4.556416999548674,20,45.84362520836294,,41.195834055542946,20,41.195834055542946,,True,,20,446.74862502142787,q10,10,1.0
23,2026-02-03T21:35:09.514520,369.29833237081766,,,True,,14.865624951198697,2.118083881214261,2,16.983708832412958,,24.571165908128023,5.622624885290861,2,30.193790793418884,,21.71220793388784,2,21.71220793388784,,True,,2,300.408624811098,q12,12,1.0
