execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_match,no_policy_rows,no_policy_time_ms,or_count,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,run_num,tpch_sf
11,2026-02-16T00:40:43.400747,1392.6692919339985,,,True,,81.4747498370707,4.306792048737407,4,85.78154188580811,,92.8957499563694,True,,5.984666058793664,4,98.88041601516306,,194.4828329142183,True,,19.29695811122656,4,213.77979102544487,,39.154999889433384,True,4,39.154999889433384,10,147.21245900727808,,955.072543118149,807.860084110871,True,,6.435625022277236,4,955.072543118149,955.072543118149,q01,1,1,1.0
12,2026-02-16T00:40:44.876603,1423.7461651209742,,,True,,86.04087494313717,4.550791112706065,4,90.59166605584323,,91.95620799437165,True,,5.925917066633701,4,97.88212506100535,,194.74020786583424,True,,20.089542027562857,4,214.8297498933971,,39.73829094320536,True,4,39.73829094320536,10,141.37795800343156,,980.7043331675231,839.3263751640916,True,,6.8211660254746675,4,980.7043331675231,980.7043331675231,q01,1,2,1.0
13,2026-02-16T00:40:46.344287,1417.1349592506886,,,True,,79.85383388586342,4.354665987193584,4,84.20849987305701,,95.83799983374774,True,,6.554625229910016,4,102.39262506365776,,201.5647920779884,True,,20.52425011061132,4,222.0890421885997,,36.741083953529596,True,4,36.741083953529596,10,153.3465830143541,,971.7037081718445,818.3571251574904,True,,6.78766705095768,4,971.7037081718445,971.7037081718445,q01,1,3,1.0
14,2026-02-16T00:40:48.040407,1644.397041061893,,,True,,226.59666603431106,4.212124971672893,4,230.80879100598395,,139.9860840756446,True,,9.763333015143871,4,149.74941709078848,,199.71699989400804,True,,20.836916053667665,4,220.5539159476757,,37.52112505026162,True,4,37.52112505026162,10,151.75945893861353,,1005.7637919671834,854.0043330285698,True,,6.984416162595153,4,1005.7637919671834,1005.7637919671834,q01,1,4,1.0
15,2026-02-16T00:40:49.462127,1371.4600421953946,,,True,,85.52091591991484,4.517209017649293,4,90.03812493756413,,91.16924996487796,True,,6.042167078703642,4,97.2114170435816,,200.70525002665818,True,,18.94525019451976,4,219.65050022117794,,39.67737499624491,True,4,39.67737499624491,10,161.7125840857625,,924.882624996826,763.1700409110636,True,,6.535167107358575,4,924.882624996826,924.882624996826,q01,1,5,1.0
16,2026-02-16T00:40:55.510157,2995.539458002895,,,True,,424.36308320611715,22.668708115816116,4,447.03179132193327,,460.80966596491635,True,,27.288416866213083,4,488.09808283112943,,586.1808338668197,True,,107.6196669600904,4,693.8005008269101,,49.14983315393329,True,4,49.14983315393329,100,171.5496249962598,,1317.459249868989,1145.9096248727292,True,,25.316250044852495,4,1317.459249868989,1317.459249868989,q01,1,1,1.0
17,2026-02-16T00:40:58.493119,2845.3637089114636,,,True,,384.85591602511704,19.401208963245153,4,404.2571249883622,,425.9689589962363,True,,25.929416995495558,4,451.8983759917319,,545.9964170586318,True,,103.41262491419911,4,649.4090419728309,,43.7235829886049,True,4,43.7235829886049,100,163.37974998168647,,1296.0755829699337,1132.6958329882473,True,,21.874750033020973,4,1296.0755829699337,1296.0755829699337,q01,1,2,1.0
18,2026-02-16T00:41:01.560087,2963.8052922673523,,,True,,447.7824999485165,21.435959031805396,4,469.2184589803219,,429.59016701206565,True,,25.631458032876253,4,455.2216250449419,,547.6104160770774,True,,131.58629112876952,4,679.1967072058469,,45.16683402471244,True,4,45.16683402471244,100,166.4577079936862,,1315.0016670115292,1148.543959017843,True,,20.964749855920672,4,1315.0016670115292,1315.0016670115292,q01,1,3,1.0
19,2026-02-16T00:41:04.495755,2802.472583949566,,,True,,405.84562509320676,20.829749992117286,4,426.67537508532405,,426.841750042513,True,,25.39149997755885,4,452.23325002007186,,542.7884589880705,True,,104.41133310087025,4,647.1997920889407,,44.57783396355808,True,4,44.57783396355808,100,164.07220787368715,,1231.7863327916712,1067.714124917984,True,,48.022666946053505,4,1231.7863327916712,1231.7863327916712,q01,1,4,1.0
20,2026-02-16T00:41:07.446180,2844.113209284842,,,True,,394.06766602769494,20.87845909409225,4,414.9461251217872,,423.392667202279,True,,25.726624997332692,4,449.11929219961166,,544.3447090219706,True,,103.7682918831706,4,648.1130009051412,,42.451833141967654,True,4,42.451833141967654,100,171.31329188123345,,1289.4829579163343,1118.1696660351008,True,,20.145416958257556,4,1289.4829579163343,1289.4829579163343,q01,1,5,1.0
21,2026-02-16T00:41:48.018995,19003.99445882067,,,True,,4220.023083034903,171.67641688138247,4,4391.699499916285,,4270.348541904241,True,,158.21837494149804,4,4428.566916845739,,4265.149417100474,True,,848.8021669909358,4,5113.95158409141,,49.16283302009106,True,4,49.16283302009106,1000,152.19095791690052,,5020.613624947146,4868.422667030245,True,,194.37316595576704,4,5020.613624947146,5020.613624947146,q01,1,1,1.0
22,2026-02-16T00:42:07.696201,19000.2721673809,,,True,,4107.623375020921,175.98679196089506,4,4283.610166981816,,4156.25337511301,True,,213.4872500319034,4,4369.740625144914,,4409.481417154893,True,,978.1804590020329,4,5387.661876156926,,36.583707900717854,True,4,36.583707900717854,1000,166.553458198905,,4922.675791196525,4756.12233299762,True,,205.67808393388987,4,4922.675791196525,4922.675791196525,q01,1,2,1.0
23,2026-02-16T00:42:26.992505,18680.28425006196,,,True,,4238.695957930759,168.41249982826412,4,4407.108457759023,,4116.187292151153,True,,206.82154200039804,4,4323.008834151551,,4106.643083039671,True,,837.2036670334637,4,4943.846750073135,,36.77870822139084,True,4,36.77870822139084,1000,172.9958748910576,,4969.541499856859,4796.545624965802,True,,192.66349985264242,4,4969.541499856859,4969.541499856859,q01,1,3,1.0
24,2026-02-16T00:42:46.580670,18945.503793423995,,,True,,4039.5399171393365,159.69083295203745,4,4199.230750091374,,4099.479250144213,True,,191.5576250758022,4,4291.036875220016,,4285.489958012477,True,,800.7255420088768,4,5086.215500021353,,38.21058408357203,True,4,38.21058408357203,1000,173.46587497740984,,5330.81008400768,5157.344209030271,True,,209.75716691464186,4,5330.81008400768,5330.81008400768,q01,1,4,1.0
25,2026-02-16T00:43:06.092493,18911.3199589774,,,True,,4070.312916999683,125.65950001589954,4,4195.972417015582,,4441.877624951303,True,,200.5030419677496,4,4642.380666919053,,4142.883207881823,True,,827.6186669245362,4,4970.501874806359,,33.724917098879814,True,4,33.724917098879814,1000,177.442624932155,,5068.740083137527,4891.297458205372,True,,145.51766705699265,4,5068.740083137527,5068.740083137527,q01,1,5,1.0
