execution_number,timestamp,duration_ms,error,correctness_1phase_error,correctness_1phase_match,correctness_2phase_error,correctness_2phase_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,run_num,source_count,tpch_sf
17,2026-03-01T00:30:43.352798,274.43587500602007,,,1,,1,,76.3774998486042,3.233708906918764,4,79.61120875552297,,119.0878339111805,3.857417032122612,4,122.94525094330311,2,,71.87483320012689,4,2,1,1.0
18,2026-03-01T00:30:43.629907,273.24000000953674,,,1,,1,,76.38341607525945,2.5195004418492317,4,78.90291651710868,,117.1313333325088,3.5211248323321342,4,120.65245816484094,2,,73.67899967357516,4,3,1,1.0
19,2026-03-01T00:30:43.922863,288.64887496456504,,,1,,1,,88.58141582459211,2.286792267113924,4,90.86820809170604,,118.89608390629292,3.41208279132843,4,122.30816669762135,2,,75.46887500211596,4,4,1,1.0
20,2026-03-01T00:30:44.205213,278.46170775592327,,,1,,1,,80.37983300164342,3.190374933183193,4,83.57020793482661,,116.65708292275667,3.4779999405145645,4,120.13508286327124,2,,74.75233310833573,4,5,1,1.0
21,2026-03-01T00:30:44.773595,278.2209999859333,,,1,,1,,79.78395838290453,2.5637089274823666,4,82.3476673103869,,118.32399992272258,3.821249585598707,4,122.14524950832129,2,,73.72237462550402,4,1,2,1.0
22,2026-03-01T00:30:45.059669,278.75104174017906,,,1,,1,,79.26149992272258,3.3100410364568233,4,82.5715409591794,,119.03916578739882,3.5794591531157494,4,122.61862494051456,2,,73.55600036680698,4,2,2,1.0
23,2026-03-01T00:30:45.343394,276.424250099808,,,1,,1,,77.33912486582994,2.523415721952915,4,79.86254058778286,,119.39179105684161,3.5606669262051582,4,122.95245798304677,2,,73.60433414578438,4,3,2,1.0
24,2026-03-01T00:30:45.633392,282.8589999116957,,,1,,1,,77.96166697517037,2.7491250075399876,4,80.71079198271036,,120.52158266305923,3.5475832410156727,4,124.06916590407491,2,,78.07404175400734,4,4,2,1.0
25,2026-03-01T00:30:45.921184,280.9185408987105,,,1,,1,,79.46641696617007,3.262166865170002,4,82.72858383134007,,118.93683299422264,3.632000181823969,4,122.56883317604661,2,,75.61649987474084,4,5,2,1.0
26,2026-03-01T00:30:46.534684,300.9767918847501,,,1,,1,,79.90074995905161,2.7041672728955746,4,82.60491723194718,,139.91024997085333,3.6694169975817204,4,143.57966696843505,2,,74.78675013408065,4,1,3,1.0
