execution_number,timestamp,duration_ms,error,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms
14,2026-02-10T09:52:54.234562,273.07812380604446,,q01,1,1.0,,True,,True,,4,31.20324993506074,,,True,,4,39.20170897617936,4,42.90916700847447
15,2026-02-10T09:52:54.353747,90.20500117912889,,q03,3,1.0,,True,,True,,10,6.408374989405274,,,True,,10,10.162833845242858,10,8.158292155712843
16,2026-02-10T09:52:54.699233,208.64837430417535,,q04,4,1.0,,True,,True,,5,7.374749984592199,,,True,,5,118.6727921012789,5,21.801457973197103
17,2026-02-10T09:52:54.839996,105.86133389733732,,q05,5,1.0,,True,,True,,5,6.943666143342853,,,True,,5,16.014334047213197,5,7.0220420602709055
18,2026-02-10T09:52:54.889587,32.70329046063125,,q06,6,1.0,,True,,True,,1,3.5972909536212683,,,True,,1,3.2477090135216713,1,2.8940828051418066
19,2026-02-10T09:52:55.302657,371.8560005072504,,q07,7,1.0,,True,,True,,4,9.528083028271794,,,True,,4,22.246750071644783,4,20.17654199153185
20,2026-02-10T09:52:55.579468,159.92258279584348,,q08,8,1.0,,True,,True,,2,24.697083048522472,,,True,,2,82.35049992799759,2,30.960874864831567
21,2026-02-10T09:53:23.015680,27336.18945837952,,q09,9,1.0,,True,,True,,175,25.612416910007596,,,True,,175,57.84233286976814,175,196.4688750449568
22,2026-02-10T09:53:23.378699,310.1243758574128,,q10,10,1.0,,True,,True,,20,11.146333068609238,,,True,,20,22.812082897871733,20,35.69716587662697
23,2026-02-10T09:53:23.511640,104.24383403733373,,q12,12,1.0,,True,,True,,2,6.067375186830759,,,True,,2,10.705749969929457,2,11.294292053207757
24,2026-02-10T09:53:23.598790,69.07945754937828,,q14,14,1.0,,True,,True,,1,3.5295002162456512,,,True,,1,4.38633281737566,1,3.514082869514823
25,2026-02-10T09:53:24.068173,393.1202916428447,,q18,18,1.0,,True,,True,,57,35.109249874949455,,,True,,57,29.168499866500497,57,69.14879195392132
26,2026-02-10T09:53:24.211969,118.57479112222792,,q19,19,1.0,,True,,True,,1,4.478583112359047,,,True,,1,8.503583027049899,1,5.908542079851031
27,2026-02-10T09:53:24.562151,273.2049997430295,,q01,1,1.0,,True,,True,,4,31.836875015869737,,,True,,4,35.07883311249316,4,48.30883396789432
28,2026-02-10T09:53:24.683482,92.85150072537364,,q03,3,1.0,,True,,True,,10,7.180709159001708,,,True,,10,8.855334017425776,10,8.524541975930333
29,2026-02-10T09:53:25.029942,212.3954170383513,,q04,4,1.0,,True,,True,,5,8.889040909707546,,,True,,5,114.67324988916516,5,20.142750116065145
30,2026-02-10T09:53:25.180901,118.82962402887642,,q05,5,1.0,,True,,True,,5,6.339416839182377,,,True,,5,14.914541970938444,5,7.454124977812171
31,2026-02-10T09:53:25.241712,44.13879103958607,,q06,6,1.0,,True,,True,,1,2.2242919076234102,,,True,,1,3.3687909599393606,1,2.960665849968791
32,2026-02-10T09:53:25.675874,393.72312277555466,,q07,7,1.0,,True,,True,,4,8.881957968696952,,,True,,4,21.128499880433083,4,24.927540915086865
33,2026-02-10T09:53:25.936001,183.65404242649672,,q08,8,1.0,,True,,True,,2,25.91558312997222,,,True,,2,40.84504093043506,2,28.94641598686576
34,2026-02-10T09:54:02.593728,36564.229290001094,,q09,9,1.0,,True,,True,,175,26.388457976281643,,,True,,175,49.86599995754659,175,216.2694160360843
35,2026-02-10T09:54:03.003713,342.1608761418611,,q10,10,1.0,,True,,True,,20,13.998875161632895,,,True,,20,21.792041836306453,20,54.534625029191375
36,2026-02-10T09:54:03.159280,128.24845733121035,,q12,12,1.0,,True,,True,,2,5.4079999681562185,,,True,,2,9.34883300215006,2,30.069040833041072
37,2026-02-10T09:54:03.241351,59.56558254547417,,q14,14,1.0,,True,,True,,1,6.611542077735066,,,True,,1,4.299416905269027,1,4.522916162386537
38,2026-02-10T09:54:03.649640,333.7387922219932,,q18,18,1.0,,True,,True,,57,35.62804195098579,,,True,,57,28.21949985809624,57,46.83212493546307
