execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_1phase_correctness_error,sqlserver_dfc_1phase_correctness_match,sqlserver_dfc_1phase_error,sqlserver_dfc_1phase_rows,sqlserver_dfc_1phase_time_ms,sqlserver_dfc_2phase_correctness_error,sqlserver_dfc_2phase_correctness_match,sqlserver_dfc_2phase_error,sqlserver_dfc_2phase_rows,sqlserver_dfc_2phase_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
11,2026-03-01T01:08:30.484090,1381.1892070807517,,,True,,37.12374996393919,2.4075000546872616,5,39.53125001862645,,51.15895811468363,3.032458946108818,5,54.191417060792446,,107.46016586199403,2.70941574126482,5,110.16958160325885,,16.62341644987464,5,16.62341644987464,q04,4,,True,,True,,5,1599.1114168427885,,True,,5,2709.6310420893133,,,True,,5,11408.793041948229,5,1160.6735419481993,1.0
12,2026-03-01T01:08:45.842381,1369.0976640209556,,,True,,38.17449975758791,2.932666800916195,5,41.107166558504105,,52.41554090753198,3.770040813833475,5,56.18558172136545,,107.54345776513219,2.6228330098092556,5,110.16629077494144,,17.48420810326934,5,17.48420810326934,q04,4,,True,,True,,5,1277.3757078684866,,True,,5,2368.93254192546,,,True,,5,10339.25574971363,5,1144.1544168628752,1.0
13,2026-03-01T01:09:01.205133,1432.0584163069725,,,True,,37.953666877001524,2.527874894440174,5,40.4815417714417,,52.183457650244236,3.08645935729146,5,55.269917007535696,,111.42154177650809,2.5133327580988407,5,113.93487453460693,,17.047457862645388,5,17.047457862645388,q04,4,,True,,True,,5,1554.74758381024,,True,,5,2345.197374932468,,,True,,5,10026.584083680063,5,1205.3246251307428,1.0
14,2026-03-01T01:09:16.358701,1430.3752514533699,,,True,,39.790083188563585,2.3679169826209545,5,42.15800017118454,,53.53858368471265,3.0930000357329845,5,56.63158372044563,,110.71879183873534,2.6287082582712173,5,113.34750009700656,,16.08391711488366,5,16.08391711488366,q04,4,,True,,True,,5,1243.376291822642,,True,,5,2346.6734997928143,,,True,,5,10126.674582716078,5,1202.1542503498495,1.0
15,2026-03-01T01:09:32.236768,1358.503042254597,,,True,,38.00475038588047,2.4735829792916775,5,40.47833336517215,,50.11562490835786,3.3849170431494713,5,53.50054195150733,,109.51366694644094,3.047333098948002,5,112.56100004538894,,15.591749921441078,5,15.591749921441078,q04,4,,True,,True,,5,1329.939542338252,,True,,5,2390.6374583020806,,,True,,5,10789.330000057817,5,1136.3714169710875,1.0
16,2026-03-01T01:09:41.842134,872.1833750605583,,,True,,18.28049961477518,1.8608751706779003,5,20.14137478545308,,31.326250173151493,2.898875158280134,5,34.22512533143163,,33.320875372737646,4.613165743649006,5,37.93404111638665,,16.569584142416716,5,16.569584142416716,q05,5,,True,,True,,5,634.0568750165403,,True,,5,1316.1155837588012,,,True,,5,1302.8522497043014,5,763.3132496848702,1.0
17,2026-03-01T01:09:45.932897,838.6543751694262,,,True,,18.281832803040743,1.947042066603899,5,20.228874869644642,,31.13474976271391,3.6088749766349792,5,34.74362473934889,,35.5317909270525,4.423125181347132,5,39.95491610839963,,18.392959143966436,5,18.392959143966436,q05,5,,True,,True,,5,641.9356246478856,,True,,5,1288.3598748594522,,,True,,5,1317.2049173153937,5,725.3340003080666,1.0
18,2026-03-01T01:09:49.962797,743.1258326396346,,,True,,17.466832883656025,1.9190828315913677,5,19.385915715247393,,32.74337528273463,2.9655839316546917,5,35.708959214389324,,34.915708005428314,5.54525014013052,5,40.460958145558834,,17.351416870951653,5,17.351416870951653,q05,5,,True,,True,,5,714.3424171954393,,True,,5,1333.517249673605,,,True,,5,1235.1677920669317,5,630.2185826934874,1.0
19,2026-03-01T01:09:54.052341,808.5041223093867,,,True,,18.35458306595683,1.972499769181013,5,20.327082835137844,,31.030749902129173,2.822916954755783,5,33.853666856884956,,33.38116593658924,5.010582972317934,5,38.391748908907175,,17.79320789501071,5,17.79320789501071,q05,5,,True,,True,,5,672.1685002557933,,True,,5,1274.2159999907017,,,True,,5,1330.8455417864025,5,698.138415813446,1.0
20,2026-03-01T01:09:58.119943,815.3282930143178,,,True,,18.55366723611951,2.314541954547167,5,20.868209190666676,,31.83087520301342,2.83091701567173,5,34.66179221868515,,33.57145795598626,4.496375098824501,5,38.06783305481076,,17.88945822045207,5,17.88945822045207,q05,5,,True,,True,,5,719.7447079233825,,True,,5,1253.7229997105896,,,True,,5,1275.0711250118911,5,703.8410003297031,1.0
