execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_dfc_correctness_error,umbra_dfc_correctness_match,umbra_dfc_error,umbra_dfc_rows,umbra_dfc_time_ms,umbra_error,umbra_logical_correctness_error,umbra_logical_correctness_match,umbra_logical_error,umbra_logical_rows,umbra_logical_time_ms,umbra_rows,umbra_time_ms,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms
7,2026-02-06T18:13:37.284049,,,,,,,,,,,,,,,,,,,q08,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,2.0,683.5236251354218,,,True,,2.0,1174.9205000232903,2.0,569.4489588495344,,,,,,,,,,,,,,,
7,2026-02-10T09:52:32.288984,,,,,,,,,,,,,,,,,,,q08,8,1.0,,True,,True,,2.0,27.17929193750024,,,True,,2.0,41.04804201051593,2.0,30.526041984558105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2026-02-13T02:49:22.534641,785.0962078664452,,,True,,23.454499896615744,2.934125019237399,2.0,26.388624915853143,,74.02320788241923,7.672749925404787,2.0,81.69595780782402,,24.52741703018546,2.0,24.52741703018546,q08,8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,2.0,660.0829160306603,,,True,,2.0,1296.92995804362,2.0,652.4842081125826
8,2026-02-06T17:56:28.792022,,,,,,,,,,,,,,,,,,,q09,9,1.0,,,,,,,,,,,,,,,,,True,,True,,175.0,1463.458999991417,,,True,,175.0,7660.638042027131,175.0,5146.7035410460085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-06T18:14:30.575321,,,,,,,,,,,,,,,,,,,q09,9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,175.0,616.8783339671791,,,True,,175.0,18717.370541999117,175.0,1381.295083090663,,,,,,,,,,,,,,,
8,2026-02-10T09:52:52.727697,,,,,,,,,,,,,,,,,,,q09,9,1.0,,True,,True,,175.0,24.763875175267454,,,True,,175.0,46.693166019394994,175.0,55.82250002771616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2026-02-13T02:49:59.356268,33893.422916997224,,,True,,53.33650019019842,1.935834065079689,175.0,55.27233425527811,,32688.951707910743,5.447791889309883,175.0,32694.399499800056,,60.43254188261926,175.0,60.43254188261926,q09,9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,175.0,933.4012500476092,,,True,,175.0,1966.348000103608,175.0,1083.3185410592705
9,2026-02-06T17:56:32.002669,,,,,,,,,,,,,,,,,,,q10,10,1.0,,,,,,,,,,,,,,,,,True,,True,,20.0,628.5790828987956,,,True,,20.0,1128.003917168826,20.0,900.6304580252618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2026-02-06T18:14:35.900360,,,,,,,,,,,,,,,,,,,q10,10,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,20.0,1147.7277500089258,,,True,,20.0,1930.1237498875707,20.0,1631.4082089811563,,,,,,,,,,,,,,,
9,2026-02-10T09:52:53.060388,,,,,,,,,,,,,,,,,,,q10,10,1.0,,True,,True,,20.0,14.079916989430783,,,True,,20.0,22.127915872260928,20.0,32.6597501989454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
