execution_number,timestamp,duration_ms,error,postgres_correctness_error,postgres_correctness_match,postgres_dfc_correctness_error,postgres_dfc_correctness_match,postgres_dfc_error,postgres_dfc_rows,postgres_dfc_time_ms,postgres_error,postgres_logical_correctness_error,postgres_logical_correctness_match,postgres_logical_error,postgres_logical_rows,postgres_logical_time_ms,postgres_rows,postgres_time_ms,query_name,query_num,tpch_sf
26,2026-02-06T18:01:08.762630,924.1929999552668,,,True,,True,,1,463.1817499175668,,,True,,1,941.9912919402122,1,625.2345831599087,q19,19,1.0
27,2026-02-06T18:01:19.696168,2510.0383330136538,,,True,,True,,4,1646.417791955173,,,True,,4,6753.577332943678,4,1776.5918329823762,q01,1,1.0
28,2026-02-06T18:01:22.478188,1227.7200827375054,,,True,,True,,10,504.8320419155061,,,True,,10,1025.537749985233,10,1059.3283749185505,q03,3,1.0
29,2026-02-06T18:01:34.680958,1434.6569585613906,,,True,,True,,5,4664.500416023657,,,True,,5,6076.365709071979,5,955.026290845126,q04,4,1.0
30,2026-02-06T18:01:36.723221,995.0900836847724,,,True,,True,,5,347.81737509183586,,,True,,5,674.0188749972731,5,789.2194997984916,q05,5,1.0
31,2026-02-06T18:01:37.997384,354.3992096092552,,,True,,True,,1,280.48437484540045,,,True,,1,615.2745839208364,1,298.8517920020968,q06,6,1.0
32,2026-02-06T18:01:41.341622,1909.2282911296936,,,True,,True,,4,467.0437909662723,,,True,,4,950.0158340670168,4,938.8433748390526,q07,7,1.0
33,2026-02-06T18:01:43.823853,945.3892069868745,,,True,,True,,2,666.089333826676,,,True,,2,850.8769168984145,2,677.0163329783827,q08,8,1.0
34,2026-02-06T18:03:43.016718,111809.37566794457,,,True,,True,,175,826.2487498577684,,,True,,175,6525.859666988254,175,3133.6877499707043,q09,9,1.0
35,2026-02-06T18:03:45.163323,963.978541083634,,,True,,True,,20,422.85616719163954,,,True,,20,709.4402499496937,20,659.0778338722885,q10,10,1.0
36,2026-02-06T18:03:46.732406,463.0263338331133,,,True,,True,,2,342.0214580837637,,,True,,2,741.9025420676917,2,350.2456669230014,q12,12,1.0
37,2026-02-06T18:03:47.733970,311.1154171638191,,,True,,True,,1,218.59099995344877,,,True,,1,445.57745894417167,1,235.94849999062717,q14,14,1.0
38,2026-02-06T18:04:03.349372,4542.839792091399,,,True,,True,,57,4565.696292091161,,,True,,57,6481.144957942888,57,4146.773457992822,q18,18,1.0
39,2026-02-06T18:04:04.486153,337.0513345580548,,,True,,True,,1,241.80187517777085,,,True,,1,536.6565410513431,1,233.59187482856217,q19,19,1.0
40,2026-02-06T18:04:10.847811,1449.5818740688264,,,True,,True,,4,1134.320207871497,,,True,,4,3752.231374848634,4,1131.1534580308944,q01,1,1.0
