execution_number,timestamp,duration_ms,error,complexity_terms,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_match,logical_match_error,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_match,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_exec_time_ms,physical_lineage_query_time_ms,physical_match,physical_match_error,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,run_num,tpch_sf
11,2026-02-16T00:39:41.243751,1410.786292515695,,100,,True,,92.37508289515972,12.840499868616462,4,105.21558276377618,,94.72995880059898,True,,39.461584063246846,4,134.19154286384583,,186.3270839676261,True,,58.74145799316466,4,245.06854196079075,,36.502207862213254,True,4,36.502207862213254,131.33541704155505,,889.8084170650691,758.473000023514,True,,13.011208968237042,4,889.8084170650691,889.8084170650691,q01,1,1,1.0
12,2026-02-16T00:39:42.721186,1395.893749082461,,100,,True,,89.76379106752574,13.524374924600124,4,103.28816599212587,,93.51216698996723,True,,17.100249882787466,4,110.6124168727547,,185.45237509533763,True,,61.130208196118474,4,246.5825832914561,,35.73445789515972,True,4,35.73445789515972,130.13587496243417,,899.6761250309646,769.5402500685304,True,,15.350042143836617,4,899.6761250309646,899.6761250309646,q01,1,2,1.0
13,2026-02-16T00:39:44.224358,1421.833082800731,,100,,True,,85.95254202373326,13.68600013665855,4,99.63854216039181,,96.98666702024639,True,,43.29116689041257,4,140.27783391065896,,186.50433281436563,True,,60.45029195956886,4,246.95462477393448,,35.70691612549126,True,4,35.70691612549126,134.4732497818768,,899.2551658302546,764.7819160483778,True,,13.616082957014441,4,899.2551658302546,899.2551658302546,q01,1,3,1.0
14,2026-02-16T00:39:45.732524,1426.5745414886624,,100,,True,,91.4842919446528,13.442665804177523,4,104.92695774883032,,98.02079200744629,True,,16.79566688835621,4,114.8164588958025,,192.38833291456103,True,,62.190167140215635,4,254.57850005477667,,37.4036249704659,True,4,37.4036249704659,131.57954183407128,,914.848999818787,783.2694579847157,True,,13.37954099290073,4,914.848999818787,914.848999818787,q01,1,4,1.0
15,2026-02-16T00:39:47.245580,1430.3282909095287,,100,,True,,92.61304093524814,13.166458113119006,4,105.77949904836714,,95.32704204320908,True,,42.91349998675287,4,138.24054202996194,,193.87120893225074,True,,60.47358410432935,4,254.34479303658009,,36.66087496094406,True,4,36.66087496094406,139.86279093660414,,895.3025818336755,755.4397908970714,True,,14.817291870713234,4,895.3025818336755,895.3025818336755,q01,1,5,1.0
16,2026-02-16T00:39:52.352857,2080.6979998014867,,1000,,True,,97.63120813295245,136.68274995870888,4,234.31395809166133,,105.22191692143679,True,,105.10600009001791,4,210.3279170114547,,178.77170885913074,True,,552.2088329307735,4,730.9805417899042,,31.75604180432856,True,4,31.75604180432856,130.3514160681516,,873.3195411041379,742.9681250359863,True,,89.4664169754833,4,873.3195411041379,873.3195411041379,q01,1,1,1.0
17,2026-02-16T00:39:54.961700,2137.7764984499663,,1000,,True,,90.3811661992222,129.73070796579123,4,220.11187416501343,,104.61966716684401,True,,104.91275019012392,4,209.53241735696793,,192.1313749626279,True,,555.8237908408046,4,747.9551658034325,,31.431958079338074,True,4,31.431958079338074,140.48554096370935,,928.7450830452144,788.2595420815051,True,,97.7787917945534,4,928.7450830452144,928.7450830452144,q01,1,2,1.0
18,2026-02-16T00:39:57.625242,2145.452374126762,,1000,,True,,96.08658286742866,101.8628750462085,4,197.94945791363716,,102.23716590553522,True,,151.92700014449656,4,254.16416605003178,,181.96612503379583,True,,533.6627911310643,4,715.6289161648601,,33.58529205434024,True,4,33.58529205434024,129.8138750717044,,944.1245419438928,814.3106668721884,True,,95.90454213321209,4,944.1245419438928,944.1245419438928,q01,1,3,1.0
19,2026-02-16T00:40:00.359731,2191.1844548303634,,1000,,True,,98.73083280399442,100.99204117432237,4,199.72287397831678,,106.18691612035036,True,,152.19854097813368,4,258.38545709848404,,188.47674992866814,True,,550.6487081293017,4,739.1254580579698,,32.29433298110962,True,4,32.29433298110962,131.36799982748926,,961.6563327144831,830.2883328869939,True,,128.13066598027945,4,961.6563327144831,961.6563327144831,q01,1,4,1.0
20,2026-02-16T00:40:03.148951,2223.313832655549,,1000,,True,,102.31325007043779,110.39066687226295,4,212.70391694270074,,109.29920803755522,True,,148.97583285346627,4,258.2750408910215,,201.4322499744594,True,,583.0529169179499,4,784.4851668924093,,32.0713329128921,True,4,32.0713329128921,146.2027500383556,,935.7783750165254,789.5756249781698,True,,149.3520000949502,4,935.7783750165254,935.7783750165254,q01,1,5,1.0
