execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_optimized_error,dfc_1phase_optimized_match,dfc_1phase_optimized_match_error,dfc_1phase_optimized_rows,dfc_1phase_optimized_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,no_policy_error,no_policy_match,no_policy_match_error,no_policy_rows,no_policy_time_ms,run_num,self_join_count,tpch_sf
34,2026-02-28T14:11:59.800015,1669.149374589324,,,True,,,True,,4,527.4435831233859,4,600.6531668826938,,True,,4,541.0526245832443,4,64,0.001
35,2026-02-28T14:12:01.459413,1659.3262907117605,,,True,,,True,,4,544.8979581706226,4,583.8804999366403,,True,,4,530.5478326044977,5,64,0.001
36,2026-02-28T14:12:03.904727,1222.4419587291777,,,True,,,True,,4,191.52141688391566,4,869.1530418582261,,True,,4,161.767499987036,1,128,0.001
37,2026-02-28T14:12:05.143953,1239.1540836542845,,,True,,,True,,4,194.22387471422553,4,884.3348338268697,,True,,4,160.59537511318922,2,128,0.001
38,2026-02-28T14:12:06.642152,1498.12199966982,,,True,,,True,,4,310.478915926069,4,1027.6895835995674,,True,,4,159.95350014418364,3,128,0.001
39,2026-02-28T14:12:08.036709,1394.4602929987013,,,True,,,True,,4,233.3956672810018,4,975.5137087777257,,True,,4,185.55091693997383,4,128,0.001
40,2026-02-28T14:12:09.422041,1385.2300001308322,,,True,,,True,,4,233.28662477433681,4,959.6866671927273,,True,,4,192.25670816376805,5,128,0.001
41,2026-02-28T14:12:33.641214,12018.873625434935,,,True,,,True,,4,487.91083320975304,4,11175.627457909286,,True,,4,355.33533431589603,1,256,0.001
42,2026-02-28T14:12:45.136336,11495.045667979866,,,True,,,True,,4,502.85983411595225,4,10638.835916761309,,True,,4,353.3499171026051,2,256,0.001
43,2026-02-28T14:12:57.831233,12694.860291667283,,,True,,,True,,4,496.88499979674816,4,11834.151124581695,,True,,4,363.8241672888398,3,256,0.001
44,2026-02-28T14:13:09.994213,12162.916542962193,,,True,,,True,,4,522.9830839671195,4,11283.228166867048,,True,,4,356.7052921280265,4,256,0.001
45,2026-02-28T14:13:22.851696,12857.416124083102,,,True,,,True,,4,509.379249997437,4,11991.118166130036,,True,,4,356.91870795562863,5,256,0.001
