execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_count,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
18,2026-02-14T22:42:05.826285,136.00016781128943,,,True,,24.449458112940192,2.053125062957406,5,26.5025831758976,,49.65170891955495,6.011999910697341,5,55.66370883025229,,25.12516686692834,5,25.12516686692834,27.400874998420477,,1.3078339397907257,4.332167096436024,5,28.708708938211203,28.708708938211203,1,JOIN_GROUP_BY,2,3,3,8,,4,,,,join_count
19,2026-02-14T22:42:06.037160,135.14704070985317,,,True,,23.870541946962476,2.0092909689992666,5,25.879832915961742,,49.00849983096123,5.322957877069712,5,54.33145770803094,,26.0517499409616,5,26.0517499409616,27.231709100306034,,1.6522910445928574,5.112250102683902,5,28.88400014489889,28.88400014489889,1,JOIN_GROUP_BY,3,4,3,8,,4,,,,join_count
20,2026-02-14T22:42:06.246287,134.71541670151055,,,True,,24.906458100304008,2.040125196799636,5,26.946583297103643,,50.084334099665284,5.357708083465695,5,55.44204218313098,,24.734041187912226,5,24.734041187912226,26.078749913722277,,1.5140001196414232,4.345166962593794,5,27.5927500333637,27.5927500333637,1,JOIN_GROUP_BY,4,5,3,8,,4,,,,join_count
21,2026-02-14T22:42:06.402449,66.3023751694709,,,True,,8.61470797099173,4.2113750241696835,5,12.826082995161414,,23.62104202620685,9.280957980081439,5,32.90200000628829,,8.180208038538694,5,8.180208038538694,10.579709196463227,,1.8143749330192804,7.926833117380738,5,12.394084129482508,12.394084129482508,1,JOIN_GROUP_BY,0,1,4,16,,5,,,,join_count
22,2026-02-14T22:42:06.556579,65.82749891094863,,,True,,7.241333136335015,3.344625001773238,5,10.585958138108253,,23.968250025063753,9.128165896981955,5,33.09641592204571,,9.634374873712659,5,9.634374873712659,10.54599997587502,,1.964750001206994,8.302500005811453,5,12.510749977082014,12.510749977082014,1,JOIN_GROUP_BY,1,2,4,16,,5,,,,join_count
23,2026-02-14T22:42:06.708774,63.92954150214791,,,True,,9.240042185410857,3.3420410472899675,5,12.582083232700825,,22.99950015731156,8.987083099782467,5,31.986583257094026,,8.125541964545846,5,8.125541964545846,9.869582951068878,,1.3657500967383385,7.425124989822507,5,11.235333047807217,11.235333047807217,1,JOIN_GROUP_BY,2,3,4,16,,5,,,,join_count
24,2026-02-14T22:42:06.862006,64.83137514442205,,,True,,8.146249921992421,3.35695780813694,5,11.503207730129361,,23.921000072732568,9.687083074823022,5,33.60808314755559,,7.401459151878953,5,7.401459151878953,11.158250039443374,,1.1603750754147768,7.361792027950287,5,12.31862511485815,12.31862511485815,1,JOIN_GROUP_BY,3,4,4,16,,5,,,,join_count
25,2026-02-14T22:42:07.014282,65.04399818368256,,,True,,8.005040930584073,3.398875007405877,5,11.40391593798995,,24.09908315166831,9.82716609723866,5,33.92624924890697,,8.023166097700596,5,8.023166097700596,10.557208908721805,,1.1334579903632402,7.320249918848276,5,11.690666899085045,11.690666899085045,1,JOIN_GROUP_BY,4,5,4,16,,5,,,,join_count
26,2026-02-14T22:42:07.490161,362.04729322344065,,,True,,44.28329202346504,6.382917053997517,5,50.666209077462554,,197.82833405770361,17.127000028267503,5,214.95533408597112,,45.35895911976695,5,45.35895911976695,49.14049990475178,,1.9262910354882479,13.970749918371439,5,51.066790940240026,51.066790940240026,1,JOIN_GROUP_BY,0,1,5,32,,6,,,,join_count
27,2026-02-14T22:42:07.980664,378.8237508852035,,,True,,44.09583308734,6.66766706854105,5,50.76350015588105,,200.1894589047879,32.10125002078712,5,232.29070892557502,,45.01474997960031,5,45.01474997960031,48.53020887821913,,2.2245829459279776,14.020540984347463,5,50.754791824147105,50.754791824147105,1,JOIN_GROUP_BY,1,2,5,32,,6,,,,join_count
28,2026-02-14T22:42:08.449357,357.73987509310246,,,True,,46.168332919478416,6.12820778042078,5,52.2965406998992,,194.8322090320289,16.83525019325316,5,211.66745922528207,,45.44104216620326,5,45.44104216620326,46.93325003609061,,1.4015829656273127,13.776916079223156,5,48.334833001717925,48.334833001717925,1,JOIN_GROUP_BY,2,3,5,32,,6,,,,join_count
29,2026-02-14T22:42:08.924060,363.9405427966267,,,True,,44.8748751077801,5.739416927099228,5,50.61429203487933,,199.85183281823993,17.52112479880452,5,217.37295761704445,,45.02362501807511,5,45.02362501807511,48.63183409906924,,2.297834027558565,13.982999837026,5,50.9296681266278,50.9296681266278,1,JOIN_GROUP_BY,3,4,5,32,,6,,,,join_count
30,2026-02-14T22:42:09.399054,360.76354095712304,,,True,,44.86983409151435,6.192459026351571,5,51.06229311786592,,198.5910409130156,17.337583005428314,5,215.92862391844392,,44.550999999046326,5,44.550999999046326,47.65216610394418,,1.5694578178226948,14.15266701951623,5,49.22162392176688,49.22162392176688,1,JOIN_GROUP_BY,4,5,5,32,,6,,,,join_count
