execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf,umbra_correctness_error,umbra_correctness_match,umbra_error,umbra_rows,umbra_time_ms
13,2026-02-03T20:11:31.679978,29.144376516342163,,,True,,3.924458986148238,2.7332091704010963,1,6.6576681565493345,,6.736917188391089,6.798416143283248,1,13.535333331674337,,3.996666055172682,1,3.996666055172682,q19,19,0.1,,True,,1,4.954708972945809
14,2026-02-03T20:11:31.723286,40.150499902665615,,,True,,4.822167102247477,1.4757087919861078,4,6.297875894233584,,12.151957955211401,3.619709052145481,4,15.771667007356882,,4.704291000962257,4,4.704291000962257,q01,1,0.1,,True,,4,13.376666000112891
15,2026-02-03T20:11:31.755367,28.930914821103215,,,True,,4.638415994122624,3.240792080760002,10,7.8792080748826265,,6.559415953233838,3.5836249589920044,10,10.143040912225842,,4.085749853402376,10,4.085749853402376,q03,3,0.1,,True,,10,6.82291598059237
16,2026-02-03T20:11:31.794035,35.64783278852701,,,True,,4.5610410161316395,2.1182498894631863,5,6.679290905594826,,17.210874939337373,2.7557502035051584,5,19.96662514284253,,3.1705829314887524,5,3.1705829314887524,q04,4,0.1,,True,,5,5.831333808600903
17,2026-02-03T20:11:31.829733,32.636790769174695,,,True,,4.459291929379106,2.3393330629915,5,6.7986249923706055,,7.255041040480137,4.2278331238776445,5,11.482874164357781,,3.8033328019082546,5,3.8033328019082546,q05,5,0.1,,True,,5,10.551958810538054
18,2026-02-03T20:11:31.841881,8.948290720582008,,,True,,0.7982500828802586,0.991583801805973,1,1.7898338846862316,,1.587333157658577,2.203540876507759,1,3.790874034166336,,0.7827498484402895,1,0.7827498484402895,q06,6,0.1,,True,,1,2.584832953289151
19,2026-02-03T20:11:31.882530,37.408124189823866,,,True,,5.8091250248253345,2.44974996894598,4,8.258874993771315,,8.166416082531214,7.2952499613165855,4,15.4616660438478,,5.544917192310095,4,5.544917192310095,q07,7,0.1,,True,,4,8.142665959894657
20,2026-02-03T20:11:31.934002,48.35670627653599,,,True,,4.9490409437567,2.213791012763977,2,7.162831956520677,,7.246958091855049,6.986750056967139,2,14.233708148822188,,5.0618331879377365,2,5.0618331879377365,q08,8,0.1,,True,,2,21.898332983255386
21,2026-02-03T20:11:31.978938,41.279166005551815,,,True,,7.457291008904576,1.8016251269727945,175,9.25891613587737,,10.464832885190845,5.254209041595459,175,15.719041926786304,,8.216375019401312,175,8.216375019401312,q09,9,0.1,,True,,175,8.084832923486829
22,2026-02-03T20:11:32.033217,50.96204089932144,,,True,,8.91129206866026,3.8605828303843737,20,12.771874899044633,,14.826833037659526,4.3011249508708715,20,19.127957988530397,,8.665875066071749,20,8.665875066071749,q10,10,0.1,,True,,20,10.396332945674658
