execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,dfc_2phase_error,dfc_2phase_exec_time_ms,dfc_2phase_match,dfc_2phase_match_error,dfc_2phase_rewrite_time_ms,dfc_2phase_rows,dfc_2phase_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_base_capture_time_ms,physical_error,physical_lineage_query_time_ms,physical_rewrite_time_ms,physical_rows,physical_runtime_ms,physical_time_ms,query_name,query_num,tpch_sf
11,2026-02-15T19:02:51.818292,221.61820996552706,,,True,,33.07945793494582,2.391209127381444,5,35.470667062327266,,50.40750000625849,True,,2.895875135436654,5,53.30337514169514,,114.07633381895721,3.2685420010238886,5,117.3448758199811,,15.499291941523552,5,15.499291941523552,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
12,2026-02-15T19:02:52.022798,200.9671670384705,,,True,,34.00462493300438,2.3936249781399965,5,36.398249911144376,,48.08012489229441,True,,3.0343751423060894,5,51.114500034600496,,95.2821250539273,2.553666941821575,5,97.83579199574888,,15.618625096976757,5,15.618625096976757,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
13,2026-02-15T19:02:52.243333,217.23237494006753,,,True,,41.94295802153647,2.280582906678319,5,44.22354092821479,,47.612000023946166,True,,2.9987089801579714,5,50.61070900410414,,101.68304201215506,2.480291062965989,5,104.16333307512105,,18.23479193262756,5,18.23479193262756,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
14,2026-02-15T19:02:52.448930,202.41320761851966,,,True,,34.16541707701981,2.2274998482316732,5,36.392916925251484,,50.61395792290568,True,,2.974167000502348,5,53.58812492340803,,93.75729085877538,3.352999920025468,5,97.11029077880085,,15.321874991059303,5,15.321874991059303,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
15,2026-02-15T19:02:52.655905,203.76737671904266,,,True,,34.72324996255338,2.533084014430642,5,37.256333976984024,,43.383624870330095,True,,2.9992498457431793,5,46.382874716073275,,101.71983391046524,2.662917133420706,5,104.38275104388595,,15.745416982099414,5,15.745416982099414,0.0,skipped_for_physical,0.0,0.0,0,0.0,0.0,q04,4,1.0
16,2026-02-15T19:02:52.993864,120.25833292864263,,,True,,13.81441717967391,1.8494999967515469,5,15.663917176425457,,24.634749861434102,True,,3.171500051394105,5,27.806249912828207,,28.400749899446964,4.276541993021965,5,32.67729189246893,,14.79241601191461,5,14.79241601191461,18.27774988487363,,11.040708050131798,3.0038750264793634,5,29.318457935005426,29.318457935005426,q05,5,1.0
17,2026-02-15T19:02:53.157591,138.52358236908913,,,True,,14.08699993044138,1.8102910835295916,5,15.897291013970971,,29.8312921077013,True,,2.6333341374993324,5,32.464626245200634,,26.828750036656857,4.384041065350175,5,31.21279110200703,,14.367415802553296,5,14.367415802553296,18.722750013694167,,25.858708191663027,3.7593329325318336,5,44.581458205357194,44.581458205357194,q05,5,1.0
18,2026-02-15T19:02:53.358134,166.510459035635,,,True,,16.07874990440905,1.9769580103456974,5,18.05570791475475,,30.60375014320016,True,,2.745291916653514,5,33.34904205985367,,36.91120911389589,4.350124858319759,5,41.26133397221565,,26.349416002631187,5,26.349416002631187,28.78991700708866,,18.705042079091072,4.014709033071995,5,47.49495908617973,47.49495908617973,q05,5,1.0
19,2026-02-15T19:02:53.532882,147.1651669126004,,,True,,19.83808306977153,2.11687502451241,5,21.95495809428394,,27.832417050376534,True,,2.799500012770295,5,30.63191706314683,,32.08645898848772,8.566540898755193,5,40.65299988724291,,24.934333050623536,5,24.934333050623536,18.24612496420741,,10.74483385309577,3.368707839399576,5,28.99095881730318,28.99095881730318,q05,5,1.0
20,2026-02-15T19:02:53.677462,119.42233424633741,,,True,,14.446208020672202,1.803667051717639,5,16.24987507238984,,29.09900015220046,True,,2.6465419214218855,5,31.745542073622346,,26.087040780112147,4.158042138442397,5,30.245082918554544,,12.183875078335404,5,12.183875078335404,18.03420903161168,,10.963750071823597,2.99604213796556,5,28.997959103435278,28.997959103435278,q05,5,1.0
