execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,sqlserver_correctness_error,sqlserver_correctness_match,sqlserver_dfc_correctness_error,sqlserver_dfc_correctness_match,sqlserver_dfc_error,sqlserver_dfc_rows,sqlserver_dfc_time_ms,sqlserver_error,sqlserver_logical_correctness_error,sqlserver_logical_correctness_match,sqlserver_logical_error,sqlserver_logical_rows,sqlserver_logical_time_ms,sqlserver_rows,sqlserver_time_ms,tpch_sf
31,2026-02-13T02:53:40.726058,711.9598342105746,,,True,,8.471749955788255,1.7858340870589018,1,10.257584042847157,,14.549917075783014,2.629874972626567,1,17.17979204840958,,9.4649160746485,1,9.4649160746485,q06,6,,True,,True,,1,681.7833338864148,,,True,,1,1357.9104579985142,1,675.0575420446694,1.0
32,2026-02-13T02:53:43.746199,1069.831375963986,,,True,,64.04658406972885,3.7361669819802046,4,67.78275105170906,,249.87695808522403,8.932208875194192,4,258.8091669604182,,122.48508306220174,4,122.48508306220174,q07,7,,True,,True,,4,716.7318749707192,,,True,,4,1210.438792128116,4,620.7543748896569,1.0
33,2026-02-13T02:53:46.627644,809.8567498382181,,,True,,24.205541936680675,2.941875020042062,2,27.147416956722736,,85.15495783649385,8.232250111177564,2,93.38720794767141,,31.12862491980195,2,31.12862491980195,q08,8,,True,,True,,2,713.5458749253303,,,True,,2,1331.5729999449104,2,658.193500014022,1.0
34,2026-02-13T02:54:18.779743,28967.95879281126,,,True,,59.08979196101427,1.9933748990297318,175,61.083166860044,,27799.423542106524,5.769333802163601,175,27805.192875908688,,64.04149997979403,175,64.04149997979403,q09,9,,True,,True,,175,1117.8955000359565,,,True,,175,2035.652041900903,175,1037.641250062734,1.0
35,2026-02-13T02:54:24.712037,1809.9677076097578,,,True,,78.1735829077661,5.004874896258116,20,83.17845780402422,,103.73137495480478,5.887707928195596,20,109.61908288300037,,121.50933290831745,20,121.50933290831745,q10,10,,True,,True,,20,1480.1034578122199,,,True,,20,2603.0493329744786,20,1495.6608340144157,1.0
36,2026-02-13T02:54:28.410838,1000.548834213987,,,True,,21.00158389657736,2.456833142787218,2,23.458417039364576,,38.49654202349484,5.326125072315335,2,43.822667095810175,,38.931624963879585,2,38.931624963879585,q12,12,,True,,True,,2,918.5250839218497,,,True,,2,1751.3112910091877,2,894.3361251149327,1.0
37,2026-02-13T02:54:31.060571,702.2683322429657,,,True,,16.35633292607963,1.5822499990463257,1,17.938582925125957,,23.181833093985915,3.1008750665932894,1,26.282708160579205,,20.626500016078353,1,20.626500016078353,q14,14,,True,,True,,1,723.0005830060691,,,True,,1,1213.060875190422,1,637.4205411411822,1.0
38,2026-02-13T02:54:37.524575,2041.332207620144,,,True,,54.59833308123052,4.046791000291705,57,58.645124081522226,,148.93337478861213,4.951749928295612,57,153.88512471690774,,120.08937494829297,57,120.08937494829297,q18,18,,True,,True,,57,1432.273792102933,,,True,,57,2965.8104579430073,57,1708.712583873421,1.0
39,2026-02-13T02:54:43.829763,1642.5169589929283,,,True,,25.39012487977743,3.269708948209882,1,28.659833827987313,,49.0515420679003,6.462207995355129,1,55.51375006325543,,33.96729193627834,1,33.96729193627834,q19,19,,True,,True,,1,1569.0280001144856,,,True,,1,3067.0800828374922,1,1524.3760831654072,1.0
40,2026-02-13T02:55:22.478697,9224.238456925377,,,True,,54.147584130987525,1.7415829934179783,4,55.8891671244055,,185.37754099816084,4.71641612239182,4,190.09395712055266,,57.43874981999397,4,57.43874981999397,q01,1,,True,,True,,4,9543.514458928257,,,True,,4,19868.350999895483,4,8920.816582860425,1.0
41,2026-02-13T02:55:25.239957,797.296455828473,,,True,,24.314291076734662,4.439499927684665,10,28.753791004419327,,34.07479100860655,4.216915927827358,10,38.29170693643391,,25.85499989800155,10,25.85499989800155,q03,3,,True,,True,,10,668.9953750465065,,,True,,10,1276.9366661086679,10,704.3959579896182,1.0
42,2026-02-13T02:55:38.912912,1412.4752068892121,,,True,,43.88083308003843,2.97179096378386,5,46.85262404382229,,135.2824999485165,2.509749960154295,5,137.79224990867078,,28.062416007742286,5,28.062416007742286,q04,4,,True,,True,,5,1234.7214999608696,,,True,,5,11005.121666938066,5,1199.7679169289768,1.0
43,2026-02-13T02:55:41.546507,741.217207396403,,,True,,28.751124860718846,2.270040800794959,5,31.021165661513805,,47.55958286114037,4.338041879236698,5,51.89762474037707,,34.03970808722079,5,34.03970808722079,q05,5,,True,,True,,5,632.3822501581162,,,True,,5,1235.2487910538912,5,624.2587089072913,1.0
