execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,datafusion_correctness_error,datafusion_correctness_match,datafusion_dfc_correctness_error,datafusion_dfc_correctness_match,datafusion_dfc_error,datafusion_dfc_rows,datafusion_dfc_time_ms,datafusion_error,datafusion_logical_correctness_error,datafusion_logical_correctness_match,datafusion_logical_error,datafusion_logical_rows,datafusion_logical_time_ms,datafusion_rows,datafusion_time_ms,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,query_name,query_num,tpch_sf
30,2026-02-06T18:16:24.891014,670.8071674220264,,,True,,True,,True,,5,549.8174580279738,,,True,,5,2000.0909159425646,5,521.1098750587553,,34.86366709694266,3.0456669628620148,5,37.90933405980468,,70.37812517955899,7.571125170215964,5,77.94925034977496,,33.83870795369148,5,33.83870795369148,q05,5,1.0
31,2026-02-06T18:16:26.667474,442.0140008442104,,,True,,True,,True,,1,493.055708007887,,,True,,1,824.0662908647209,1,399.78599990718067,,8.347250055521727,1.598249888047576,1,9.945499943569303,,19.225291907787323,3.6503339651972055,1,22.87562587298453,,9.406875120475888,1,9.406875120475888,q06,6,1.0
32,2026-02-06T18:16:30.255161,1241.859083995223,,,True,,True,,True,,4,619.3328751251101,,,True,,4,1708.055041031912,4,638.7908339966089,,79.84104193747044,8.595542050898075,4,88.43658398836851,,414.4540000706911,14.145374996587634,4,428.59937506727874,,86.03229094296694,4,86.03229094296694,q07,7,1.0
33,2026-02-06T18:16:32.812250,735.5419592931867,,,True,,True,,True,,2,604.7914999071509,,,True,,2,1202.025790931657,2,541.6302501689643,,31.602750066667795,3.6842499393969774,2,35.28700000606477,,110.8379999641329,12.040750123560429,2,122.87875008769333,,35.74595903046429,2,35.74595903046429,q08,8,1.0
34,2026-02-06T18:17:29.812494,35768.382125068456,,,True,,True,,True,,175,616.4221249055117,,,True,,175,20589.21904093586,175,1563.8569579459727,,80.26212500408292,3.4894580021500587,175,83.75158300623298,,34025.32079210505,9.094374952837825,175,34034.41516705789,,86.35841705836356,175,86.35841705836356,q09,9,1.0
35,2026-02-06T18:17:35.250908,1992.91049875319,,,True,,True,,True,,20,1277.1797920577228,,,True,,20,2098.729666089639,20,1434.4498328864574,,181.13962491042912,16.768791945651174,20,197.9084168560803,,155.3292078897357,17.51250005327165,20,172.84170794300735,,187.71054106764495,20,187.71054106764495,q10,10,1.0
36,2026-02-06T18:17:37.993232,943.13187408261,,,True,,True,,True,,2,644.1659170668572,,,True,,2,1134.1489169280976,2,829.3486249167472,,21.81529114022851,2.8292909264564514,2,24.64458206668496,,42.363750049844384,5.42241707444191,2,47.786167124286294,,41.35249997489154,2,41.35249997489154,q12,12,1.0
37,2026-02-06T18:17:39.807807,581.2878333963454,,,True,,True,,True,,1,426.18804099038243,,,True,,1,789.3833748530596,1,487.628041068092,,24.139625020325184,2.53483303822577,1,26.674458058550954,,33.734792144969106,4.923208151012659,1,38.658000295981765,,28.32733397372067,1,28.32733397372067,q14,14,1.0
38,2026-02-06T18:17:44.261683,1408.5874590091407,,,True,,True,,True,,57,948.533833026886,,,True,,57,2074.669708032161,57,942.0155419502407,,80.25837503373623,7.292040856555104,57,87.55041589029133,,215.30504198744893,7.230167044326663,57,222.5352090317756,,156.48629213683307,57,156.48629213683307,q18,18,1.0
39,2026-02-06T18:17:46.300122,623.8417087588459,,,True,,True,,True,,1,535.6303330045193,,,True,,1,859.0392079204321,1,459.5417499076575,,35.58879182673991,7.920250063762069,1,43.509041890501976,,64.97908290475607,12.799208983778954,1,77.77829188853502,,43.01262507215142,1,43.01262507215142,q19,19,1.0
40,2026-02-06T18:17:48.987362,902.9839993454516,,,True,,True,,True,,4,540.8277919050306,,,True,,4,1225.1109590288252,4,516.8314999900758,,96.88779106363654,3.3615001011639833,4,100.24929116480052,,186.02799996733665,8.39779106900096,4,194.4257910363376,,91.47741715423763,4,91.47741715423763,q01,1,1.0
41,2026-02-06T18:17:51.096912,594.9103748425841,,,True,,True,,True,,10,538.0233339965343,,,True,,10,962.7935842145234,10,491.9500001706183,,26.736124884337187,4.699207842350006,10,31.435332726687193,,41.260499972850084,5.531457951292396,10,46.79195792414248,,24.733084021136165,10,24.733084021136165,q03,3,1.0
42,2026-02-06T18:17:53.823488,816.938792122528,,,True,,True,,True,,5,543.8484589103609,,,True,,5,1344.1058329772204,5,507.91904190555215,,75.74012503027916,5.501041188836098,5,81.24116621911526,,190.15075010247529,4.320292035117745,5,194.47104213759303,,33.30754186026752,5,33.30754186026752,q04,4,1.0
43,2026-02-06T18:17:57.326367,744.8069169186056,,,True,,True,,True,,5,628.7884588818997,,,True,,5,2109.8113749176264,5,591.796875,,34.86174996942282,3.260375000536442,5,38.12212496995926,,70.62654197216034,7.508791983127594,5,78.13533395528793,,36.752582993358374,5,36.752582993358374,q05,5,1.0
44,2026-02-06T18:17:59.151303,525.0362087972462,,,True,,True,,True,,1,429.8662089277059,,,True,,1,854.404249927029,1,480.1343330182135,,8.976540993899107,1.6377500724047422,1,10.61429106630385,,21.984208840876818,3.6452088970690966,1,25.629417737945914,,8.658166974782944,1,8.658166974782944,q06,6,1.0
45,2026-02-06T18:18:02.837881,1228.7875842303038,,,True,,True,,True,,4,672.8469578083605,,,True,,4,1764.7547498345375,4,639.567333040759,,79.83570802025497,8.538834052160382,4,88.37454207241535,,398.3052500989288,14.834708999842405,4,413.1399590987712,,87.70575001835823,4,87.70575001835823,q07,7,1.0
46,2026-02-06T18:18:05.418147,765.1656670495868,,,True,,True,,True,,2,600.0719589646906,,,True,,2,1200.6288750562817,2,571.8594579957426,,31.909917015582323,3.6842499393969774,2,35.5941669549793,,111.29399994388223,11.509625008329749,2,122.80362495221198,,34.90841714665294,2,34.90841714665294,q08,8,1.0
47,2026-02-06T18:19:02.983604,36396.70441788621,,,True,,True,,True,,175,576.9169579725713,,,True,,175,20564.94537508115,175,1470.2726248651743,,83.28808401711285,3.2100840471684933,175,86.49816806428134,,34741.651749936864,9.317541029304266,175,34750.96929096617,,88.96433399058878,175,88.96433399058878,q09,9,1.0
48,2026-02-06T18:19:07.994653,1757.808414986357,,,True,,True,,True,,20,1150.013708975166,,,True,,20,2025.9678750298917,20,1238.2177920080721,,139.62679100222886,26.652083033695817,20,166.27887403592467,,155.80808301456273,10.448958026245236,20,166.25704104080796,,187.05470790155232,20,187.05470790155232,q10,10,1.0
49,2026-02-06T18:19:10.609698,1037.7956656739116,,,True,,True,,True,,2,543.2419588323683,,,True,,2,1021.9063749536872,2,921.7065831180662,,22.349791834130883,3.100915811955929,2,25.450707646086812,,46.731082955375314,6.072459043934941,2,52.803541999310255,,37.83483291044831,2,37.83483291044831,q12,12,1.0
50,2026-02-06T18:19:12.334583,499.4890398811549,,,True,,True,,True,,1,410.66420800052583,,,True,,1,797.8220419026911,1,408.0803750548512,,21.32612490095198,2.484415890648961,1,23.810540791600943,,37.44275006465614,4.8010831233114,1,42.24383318796754,,25.35429084673524,1,25.35429084673524,q14,14,1.0
51,2026-02-06T18:19:16.988933,1436.9016659911722,,,True,,True,,True,,57,1001.2864589225501,,,True,,57,2199.0050829481333,57,990.430333185941,,72.27591704577208,7.941874908283353,57,80.21779195405543,,204.83708288520575,7.490082876756787,57,212.32716576196253,,153.92637508921325,57,153.92637508921325,q18,18,1.0
52,2026-02-06T18:19:18.959224,639.1908312216401,,,True,,True,,True,,1,455.3519159089774,,,True,,1,859.4986251555383,1,485.99408310838044,,35.02929117530584,5.470541073009372,1,40.499832248315215,,61.70329195447266,12.675290927290916,1,74.37858288176358,,38.31833298318088,1,38.31833298318088,q19,19,1.0
53,2026-02-06T18:19:21.554198,852.4832909461111,,,True,,True,,True,,4,492.6054170355201,,,True,,4,1232.8137499280274,4,479.6517079230398,,83.87766708619893,3.15145798958838,4,87.0291250757873,,181.19412497617304,7.575249997898936,4,188.76937497407198,,97.033082973212,4,97.033082973212,q01,1,1.0
