execution_number,timestamp,duration_ms,error,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
22,2026-02-14T18:21:36.614600,10.089833987876773,,,4.27891593426466,2.263707807287574,10,6.542623741552234,8,,3.545125015079975,10,10000,2,4,9
23,2026-02-14T18:21:36.636138,9.81237506493926,,,3.863999852910638,2.326000016182661,10,6.189999869093299,8,,3.620582865551114,10,10000,3,4,9
24,2026-02-14T18:21:36.657319,9.558083023875952,,,3.3750419970601797,2.2456669248640537,10,5.620708921924233,8,,3.935790853574872,10,10000,4,4,9
25,2026-02-14T18:21:36.679060,10.03345800563693,,,3.7252919282764196,2.6531671173870564,10,6.378459045663476,8,,3.6533339880406857,10,10000,5,4,9
26,2026-02-14T18:21:36.712310,10.112083051353693,,,3.899666015058756,2.7189578395336866,10,6.6186238545924425,8,,3.4914580173790455,10,10000,1,8,9
27,2026-02-14T18:21:36.745245,10.18600002862513,,,4.0134170558303595,2.694791881367564,10,6.708208937197924,8,,3.47612495534122,10,10000,2,8,9
28,2026-02-14T18:21:36.778440,10.215208865702152,,,3.869874868541956,2.691958099603653,10,6.561832968145609,8,,3.651499981060624,10,10000,3,8,9
29,2026-02-14T18:21:36.811260,9.935125010088086,,,3.8741659373044968,2.6540420949459076,10,6.528208032250404,8,,3.4051670227199793,10,10000,4,8,9
30,2026-02-14T18:21:36.844057,10.294042062014341,,,3.7635420449078083,3.2059161458164454,10,6.969458190724254,8,,3.3230839762836695,10,10000,5,8,9
31,2026-02-14T18:21:36.866210,15.88641689158976,,,7.141292095184326,3.0782080721110106,10,10.219500167295337,16,,5.664417054504156,10,10000,1,2,17
32,2026-02-14T18:21:36.887259,14.877708163112402,,,6.019833032041788,3.415415994822979,10,9.435249026864767,16,,5.440083099529147,10,10000,2,2,17
33,2026-02-14T18:21:36.908361,15.048041939735413,,,5.5597079917788506,3.176458878442645,10,8.736166870221496,16,,6.309834076091647,10,10000,3,2,17
34,2026-02-14T18:21:36.928875,14.333292143419385,,,5.5769579485058784,3.1772919464856386,10,8.754249894991517,16,,5.576959112659097,10,10000,4,2,17
35,2026-02-14T18:21:36.952644,17.395874951034784,,,7.8181251883506775,3.7981660570949316,10,11.616291245445609,16,,5.777540849521756,10,10000,5,2,17
36,2026-02-14T18:21:36.980334,15.921707963570952,,,6.636291043832898,3.3829999156296253,10,10.019290959462523,16,,5.900249816477299,10,10000,1,4,17
37,2026-02-14T18:21:37.008776,16.888416139408946,,,7.3118750005960464,3.381999908015132,10,10.693874908611178,16,,6.192333996295929,10,10000,2,4,17
38,2026-02-14T18:21:37.036671,15.971167013049126,,,6.767750019207597,3.561333054676652,10,10.329083073884249,16,,5.639499984681606,10,10000,3,4,17
39,2026-02-14T18:21:37.064892,16.531833913177252,,,6.475209025666118,3.9702090434730053,10,10.445418069139123,16,,6.083708023652434,10,10000,4,4,17
40,2026-02-14T18:21:37.092037,15.752957900986075,,,5.801666993647814,3.4029579255729914,10,9.204624919220805,16,,6.54533295892179,10,10000,5,4,17
41,2026-02-14T18:21:37.130810,16.539708012714982,,,7.052083034068346,3.8047919515520334,10,10.85687498562038,16,,5.6799170561134815,10,10000,1,8,17
42,2026-02-14T18:21:37.168187,15.521500026807189,,,6.1607081443071365,3.80679196678102,10,9.967500111088157,16,,5.55158406496048,10,10000,2,8,17
43,2026-02-14T18:21:37.207530,17.573875142261386,,,6.37337495572865,5.1502089481800795,10,11.52358390390873,16,,6.0466250870376825,10,10000,3,8,17
44,2026-02-14T18:21:37.247288,17.876375000923872,,,7.098583970218897,3.844750113785267,10,10.943334084004164,16,,6.9294588174670935,10,10000,4,8,17
45,2026-02-14T18:21:37.287739,16.694749938324094,,,6.589333992451429,4.287666874006391,10,10.87700086645782,16,,5.814832868054509,10,10000,5,8,17
46,2026-02-14T18:21:37.352960,20.22995799779892,,,8.885916089639068,5.432749865576625,10,14.318665955215693,16,,5.908749997615814,10,10000,1,16,17
