execution_number,timestamp,duration_ms,error,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,join_count,no_policy_error,no_policy_exec_time_ms,no_policy_rows,num_rows,run_num,source_count,table_count
40,2026-02-06T12:05:43.254055,661.9499160442501,,,357.94125008396804,4.430250031873584,10,362.3715001158416,16,,299.5747090317309,10,1000000,5,4,17
41,2026-02-06T12:05:44.036132,710.0935420021415,,,378.1117501202971,4.224082920700312,10,382.3358330409974,16,,327.7515000663698,10,1000000,1,8,17
42,2026-02-06T12:05:44.802467,692.5600829999894,,,370.9237091243267,3.9594590198248625,10,374.88316814415157,16,,317.67349992878735,10,1000000,2,8,17
43,2026-02-06T12:05:45.561536,687.5085840001702,,,373.30949981696904,4.214707994833589,10,377.5242078118026,16,,309.98008302412927,10,1000000,3,8,17
44,2026-02-06T12:05:46.335835,702.2070828825235,,,375.5994588136673,4.495666129514575,10,380.0951249431819,16,,322.1084999386221,10,1000000,4,8,17
45,2026-02-06T12:05:47.134017,725.1775830518454,,,408.69020903483033,3.8897909689694643,10,412.5800000037998,16,,312.59433296509087,10,1000000,5,8,17
46,2026-02-06T12:05:48.004777,726.7062079627067,,,407.8880420420319,4.8792921006679535,10,412.76733414269984,16,,313.93558299168944,10,1000000,1,16,17
47,2026-02-06T12:05:48.869847,721.9158329535276,,,406.03474993258715,4.896375117823482,10,410.9311250504106,16,,310.9812920447439,10,1000000,2,16,17
48,2026-02-06T12:05:49.792507,779.5134577900171,,,411.6605829913169,4.9252500757575035,10,416.5858330670744,16,,362.92387498542666,10,1000000,3,16,17
49,2026-02-06T12:05:50.665016,730.4645001422614,,,405.73283308185637,5.6229999754577875,10,411.35583305731416,16,,319.1054998897016,10,1000000,4,16,17
50,2026-02-06T12:05:51.501945,694.5304998662323,,,390.79241710714996,4.795290995389223,10,395.5877081025392,16,,298.9390839356929,10,1000000,5,16,17
51,2026-02-06T12:05:53.635209,2113.1643750704825,,,1126.334457891062,6.105083040893078,10,1132.439540931955,32,,980.7175840251148,10,1000000,1,2,33
52,2026-02-06T12:05:55.769872,2113.4526659734547,,,1034.182250034064,7.624458987265825,10,1041.8067090213299,32,,1071.6170829255134,10,1000000,2,2,33
53,2026-02-06T12:05:57.886330,2095.099500147626,,,1004.6183341182768,6.914583034813404,10,1011.5329171530902,32,,1083.5439579095691,10,1000000,3,2,33
54,2026-02-06T12:06:00.053144,2146.01149992086,,,1060.8894580509514,7.9058329574763775,10,1068.7952910084277,32,,1077.1793341264129,10,1000000,4,2,33
55,2026-02-06T12:06:02.273640,2196.632834151387,,,1104.9825001973659,6.874667014926672,10,1111.8571672122926,32,,1084.7426250111312,10,1000000,5,2,33
56,2026-02-06T12:06:04.650989,2336.820458061993,,,1195.6248339265585,6.2413748819381,10,1201.8662088084966,32,,1134.936291957274,10,1000000,1,4,33
57,2026-02-06T12:06:06.763632,2072.846416849643,,,1057.0307499729097,6.950875045731664,10,1063.9816250186414,32,,1008.8317499030381,10,1000000,2,4,33
58,2026-02-06T12:06:08.955014,2151.4802500605583,,,1213.5213750880212,6.242124829441309,10,1219.7634999174625,32,,931.6847079899162,10,1000000,3,4,33
59,2026-02-06T12:06:11.071271,2072.645624866709,,,1048.7392079085112,6.852000020444393,10,1055.5912079289556,32,,1017.0340000186116,10,1000000,4,4,33
60,2026-02-06T12:06:13.169284,2055.7093331590295,,,1066.8047911021858,6.1635838355869055,10,1072.9683749377728,32,,982.7284999191761,10,1000000,5,4,33
61,2026-02-06T12:06:15.428864,2184.35520818457,,,1232.2107921354473,6.881459150463343,10,1239.0922512859106,32,,945.2519160695374,10,1000000,1,8,33
62,2026-02-06T12:06:17.659007,2154.8667910974473,,,1200.4297920502722,6.532915867865086,10,1206.9627079181373,32,,947.8943329304457,10,1000000,2,8,33
63,2026-02-06T12:06:19.910921,2177.0965419709682,,,1227.042166981846,6.488499930128455,10,1233.5306669119745,32,,943.5598750133067,10,1000000,3,8,33
64,2026-02-06T12:06:22.377568,2392.1294999308884,,,1423.4307080041617,6.201291922479868,10,1429.6319999266416,32,,962.4816668219864,10,1000000,4,8,33
65,2026-02-06T12:06:24.875105,2417.6898340228945,,,1297.4327912088484,6.850457983091474,10,1304.2832491919398,32,,1113.3822919800878,10,1000000,5,8,33
66,2026-02-06T12:06:27.560845,2536.8984590750188,,,1557.0287080481648,7.571459049358964,10,1564.6001670975238,32,,972.273375140503,10,1000000,1,16,33
67,2026-02-06T12:06:30.288695,2581.6122910473496,,,1618.9011668320745,30.059333192184567,10,1648.960500024259,32,,932.6289999298751,10,1000000,2,16,33
68,2026-02-06T12:06:32.904587,2471.8666670378298,,,1493.2512079831213,7.511040894314647,10,1500.762248877436,32,,971.085499972105,10,1000000,3,16,33
69,2026-02-06T12:06:35.588013,2525.8297498803586,,,1550.4384580999613,7.290333975106478,10,1557.7287920750678,32,,968.0770840495825,10,1000000,4,16,33
70,2026-02-06T12:06:38.258209,2525.219708913937,,,1498.0897919740528,8.204000070691109,10,1506.293792044744,32,,1018.9070000778884,10,1000000,5,16,33
71,2026-02-06T12:06:41.119733,2573.548417072743,,,1654.21820897609,9.853750001639128,10,1664.071958977729,32,,909.4539999496192,10,1000000,1,32,33
72,2026-02-06T12:06:44.205829,2801.822000183165,,,1714.4000409170985,10.490959044545889,10,1724.8909999616444,32,,1076.9130000844598,10,1000000,2,32,33
73,2026-02-06T12:06:47.124338,2637.771832989529,,,1682.1689999196678,9.688917081803083,10,1691.857917001471,32,,945.8991249557585,10,1000000,3,32,33
74,2026-02-06T12:06:50.147242,2740.6757918652147,,,1692.2531658783555,9.819417027756572,10,1702.072582906112,32,,1038.5824998375028,10,1000000,4,32,33
75,2026-02-06T12:06:53.166182,2736.016666982323,,,1736.3157500512898,10.253916028887033,10,1746.5696660801768,32,,989.4271669909358,10,1000000,5,32,33
