execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,no_policy_error,no_policy_rows,no_policy_time_ms,policy_count,query_name,query_num,tpch_sf
49,2026-02-02T23:13:41.257069,4389.920458197594,,,True,,2,3345.5590831581503,,2,1029.0282079949975,,2,15.333167044445872,1000,q12,12,1.0
50,2026-02-02T23:13:54.471569,4326.1342502664775,,,True,,1,3292.425708146766,,1,1022.0997920259833,,1,11.608750093728304,1000,q14,14,1.0
51,2026-02-02T23:14:05.596741,2255.7283332571387,,,True,,57,49.5615410618484,,57,2114.8504170123488,,57,91.31637518294156,1000,q18,18,1.0
52,2026-02-02T23:14:18.794575,4315.06291590631,,,True,,1,3288.290499942377,,1,1006.7297080531716,,1,20.042707910761237,1000,q19,19,1.0
53,2026-02-02T23:14:52.515044,24744.787875097245,,,True,,4,12678.141582990065,,4,12020.123167196289,,4,46.523124910891056,1000,q01,1,1.0
54,2026-02-02T23:15:02.589499,1064.29508398287,,,True,,10,21.48141711950302,,10,1022.6124168839306,,10,20.201249979436398,1000,q03,3,1.0
55,2026-02-02T23:15:31.644724,20145.15804219991,,,True,,0,19218.406124971807,,0,909.0844581369311,,5,17.667459091171622,1000,q04,4,1.0
56,2026-02-02T23:15:45.024074,4337.932750117034,,,True,,5,3276.853125076741,,5,1037.9710840061307,,5,23.108541034162045,1000,q05,5,1.0
57,2026-02-02T23:15:58.598509,4621.572208125144,,,True,,1,3623.4614171553403,,1,991.3045410066843,,1,6.806249963119626,1000,q06,6,1.0
58,2026-02-02T23:16:12.040218,4480.349708115682,,,True,,4,3343.323624925688,,4,1087.4720001593232,,4,49.55408303067088,1000,q07,7,1.0
59,2026-02-02T23:16:25.127778,4320.92195795849,,,True,,2,3289.3015830777586,,2,1010.9432919416577,,2,20.677082939073443,1000,q08,8,1.0
60,2026-02-02T23:16:39.432621,5193.576582008973,,,True,,175,3654.443208128214,,175,1480.8302910532802,,175,58.30308282747865,1000,q09,9,1.0
61,2026-02-02T23:16:49.573822,1190.130750881508,,,True,,20,64.86791698262095,,20,1065.7623340375721,,20,59.50049986131489,1000,q10,10,1.0
62,2026-02-02T23:17:02.921583,4396.680249832571,,,True,,2,3341.7377090081573,,2,1036.5758328698575,,2,18.36670795455575,1000,q12,12,1.0
63,2026-02-02T23:17:16.061438,4299.672291846946,,,True,,1,3294.166666921228,,1,993.3222499676049,,1,12.183374958112836,1000,q14,14,1.0
64,2026-02-02T23:17:27.256897,2258.1437500193715,,,True,,57,52.38358397036791,,57,2111.9903749786317,,57,93.76979107037187,1000,q18,18,1.0
65,2026-02-02T23:17:40.514389,4386.086666956544,,,True,,1,3327.6762499008328,,1,1036.0685419291258,,1,22.341875126585364,1000,q19,19,1.0
