execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_rows,dfc_time_ms,logical_error,logical_rows,logical_time_ms,no_policy_error,no_policy_rows,no_policy_time_ms,policy_count,query_name,query_num,tpch_sf
47,2026-02-03T01:24:50.988531,13844.101375201717,,,True,,175,7560.898750089109,,175,5794.199417112395,,175,489.0032080002129,1000,q09,9,10.0
48,2026-02-03T01:25:02.482403,2494.2720411345363,,,True,,20,334.9974579177797,,20,1822.3747920710593,,20,336.89979114569724,1000,q10,10,10.0
49,2026-02-03T01:25:16.512088,5103.05125080049,,,True,,2,3581.934083951637,,2,1401.0077079292387,,2,120.10945891961455,1000,q12,12,10.0
50,2026-02-03T01:25:30.466310,5092.103209812194,,,True,,1,3653.9742089807987,,1,1337.5659589655697,,1,100.56304186582565,1000,q14,14,10.0
51,2026-02-03T01:25:44.580302,5200.067999074236,,,True,,100,426.4685418456793,,100,3692.1972911804914,,100,1081.4021660480648,1000,q18,18,10.0
52,2026-02-03T01:25:58.518432,5070.451666135341,,,True,,1,3565.5158748850226,,1,1324.7605001088232,,1,180.1752911414951,1000,q19,19,10.0
53,2026-02-03T01:27:22.902550,75378.72899905778,,,True,,4,37310.01695804298,,4,37797.7872909978,,4,270.9247500170022,1000,q01,1,10.0
54,2026-02-03T01:27:33.674776,1734.1616668272763,,,True,,10,220.6764998845756,,10,1321.562916971743,,10,191.92224997095764,1000,q03,3,10.0
55,2026-02-03T01:29:03.598717,2122.325832955539,,"Errors: dfc=Out of Memory Error: failed to offload data block of size 256.0 KiB (51.5 GiB/51.5 GiB used).
This limit was set by the 'max_temp_directory_size' setting.
By default, this setting utilizes the available disk space on the drive where the 'temp_directory' is located.
You can adjust this setting, by using (for example) PRAGMA max_temp_directory_size='10GiB', logical=None",False,"Out of Memory Error: failed to offload data block of size 256.0 KiB (51.5 GiB/51.5 GiB used).
This limit was set by the 'max_temp_directory_size' setting.
By default, this setting utilizes the available disk space on the drive where the 'temp_directory' is located.
You can adjust this setting, by using (for example) PRAGMA max_temp_directory_size='10GiB'",0,0.0,,0,1964.550832984969,,5,157.7749999705702,1000,q04,4,10.0
56,2026-02-03T01:29:18.266907,5721.159290987998,,,True,,5,3897.864915896207,,5,1530.7310419157147,,5,292.5633331760764,1000,q05,5,10.0
57,2026-02-03T01:29:34.505375,7338.056125212461,,,True,,1,5918.193167075515,,1,1341.2018329836428,,1,78.66112515330315,1000,q06,6,10.0
58,2026-02-03T01:29:50.355338,6645.708333002403,,,True,,4,3953.124792082235,,4,2133.5783330723643,,4,559.0052078478038,1000,q07,7,10.0
59,2026-02-03T01:30:04.572876,5358.192624989897,,,True,,2,3747.8131249081343,,2,1401.7287909518927,,2,208.65070912986994,1000,q08,8,10.0
60,2026-02-03T01:30:27.499022,13912.01841714792,,,True,,175,7540.016791084781,,175,5878.863709047437,,175,493.13791701570153,1000,q09,9,10.0
61,2026-02-03T01:30:38.822983,2277.422501007095,,,True,,20,343.07949990034103,,20,1592.8369590546936,,20,341.50604205206037,1000,q10,10,10.0
62,2026-02-03T01:30:52.798922,5091.415499802679,,,True,,2,3561.239124974236,,2,1406.4474578481168,,2,123.72891698032618,1000,q12,12,10.0
63,2026-02-03T01:31:06.914023,5109.201333019882,,,True,,1,3658.90279202722,,1,1350.6049159914255,,1,99.6936250012368,1000,q14,14,10.0
64,2026-02-03T01:31:21.038462,5260.747291846201,,,True,,100,457.93749997392297,,100,3723.3357499353588,,100,1079.474041936919,1000,q18,18,10.0
65,2026-02-03T01:31:35.085889,5079.884374979883,,,True,,1,3565.804458921775,,1,1333.9962500613183,,1,180.08366599678993,1000,q19,19,10.0
