execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_1phase_error,dfc_1phase_exec_time_ms,dfc_1phase_optimized_error,dfc_1phase_optimized_exec_time_ms,dfc_1phase_optimized_match,dfc_1phase_optimized_match_error,dfc_1phase_optimized_rewrite_time_ms,dfc_1phase_optimized_rows,dfc_1phase_optimized_time_ms,dfc_1phase_rewrite_time_ms,dfc_1phase_rows,dfc_1phase_time_ms,policy_count,query_name,query_num,run_num,tpch_sf
20,2026-02-28T02:34:22.028146,78.82295874878764,,,True,,45.9324587136507,,32.89050003513694,True,,0.0,4,32.89050003513694,0.0,4,45.9324587136507,1000,q01,1,5,1.0
21,2026-02-28T02:34:22.784743,373.3478747308254,,,True,,342.16087497770786,,31.18699975311756,True,,0.0,4,31.18699975311756,0.0,4,342.16087497770786,10000,q01,1,1,1.0
22,2026-02-28T02:34:23.145854,361.04033421725035,,,True,,330.6013341061771,,30.439000111073256,True,,0.0,4,30.439000111073256,0.0,4,330.6013341061771,10000,q01,1,2,1.0
23,2026-02-28T02:34:23.506486,360.559041146189,,,True,,329.63066594675183,,30.92837519943714,True,,0.0,4,30.92837519943714,0.0,4,329.63066594675183,10000,q01,1,3,1.0
24,2026-02-28T02:34:23.864820,358.26195823028684,,,True,,328.5715002566576,,29.690457973629236,True,,0.0,4,29.690457973629236,0.0,4,328.5715002566576,10000,q01,1,4,1.0
25,2026-02-28T02:34:24.224925,360.03629211336374,,,True,,329.6703342348337,,30.365957878530025,True,,0.0,4,30.365957878530025,0.0,4,329.6703342348337,10000,q01,1,5,1.0
26,2026-02-28T02:35:20.380299,28244.118665810674,,,True,,28213.50129088387,,30.617374926805496,True,,0.0,4,30.617374926805496,0.0,4,28213.50129088387,100000,q01,1,1,1.0
27,2026-02-28T02:35:48.638038,28257.732917089015,,,True,,28226.476791780442,,31.256125308573246,True,,0.0,4,31.256125308573246,0.0,4,28226.476791780442,100000,q01,1,2,1.0
28,2026-02-28T02:36:17.147235,28509.186040610075,,,True,,28478.174957912415,,31.01108269765973,True,,0.0,4,31.01108269765973,0.0,4,28478.174957912415,100000,q01,1,3,1.0
29,2026-02-28T02:36:45.498210,28350.890540517867,,,True,,28320.46449976042,,30.42604075744748,True,,0.0,4,30.42604075744748,0.0,4,28320.46449976042,100000,q01,1,4,1.0
30,2026-02-28T02:37:14.081630,28583.39966693893,,,True,,28552.55450028926,,30.84516664966941,True,,0.0,4,30.84516664966941,0.0,4,28552.55450028926,100000,q01,1,5,1.0
31,2026-02-28T04:05:50.538101,2579019.4867495447,,,True,,2578992.0822917484,,27.404457796365023,True,,0.0,4,27.404457796365023,0.0,4,2578992.0822917484,1000000,q01,1,1,1.0
