source_section,span_start,span_end,surface,ref_class,target_section,target_path,status,method
162,35586,35600,subsection (b),local_structural,162,b,needs_structural_resolution,rej16
162,35624,35635,section 414,explicit,414,,resolved_section,rej16
162,35964,35982,subparagraphs (B) ,local_structural,162,B,needs_structural_resolution,rej16
162,36757,36771,Paragraph (1) ,local_structural,162,1,needs_structural_resolution,rej16
162,36994,37007,paragraph (1),local_structural,162,1,needs_structural_resolution,rej16
162,38112,38131,section 62(a)(2)(A),explicit,62,a.2.A,resolved_section,rej16
162,38137,38150,section 62(c),explicit,62,c,resolved_section,rej16
162,38272,38288,paragraph (1)(A),local_structural,162,1.A,needs_structural_resolution,rej16
162,38391,38405,paragraph (1) ,local_structural,162,1,needs_structural_resolution,rej16
162,38573,38583,section 67,explicit,67,,resolved_section,rej16
162,39409,39424,section 1(f)(3),explicit,1,f.3,resolved_section,rej16
162,39546,39567,subparagraph (A)(ii) ,local_structural,162,A.ii,needs_structural_resolution,rej16
162,39687,39704,subsection (a)(2),local_structural,162,a.2,needs_structural_resolution,rej16
162,40624,40638,Paragraph (1) ,local_structural,162,1,needs_structural_resolution,rej16
162,41338,41350,section 7(b),explicit,7,b,unresolved_missing_section,rej16
162,41549,41560,section 165,explicit,165,,resolved_section,rej16
162,41956,41971,section 1504(a),explicit,1504,a,resolved_section,rej16
162,42104,42119,paragraphs (2) ,local_structural,162,2,needs_structural_resolution,rej16
162,42130,42145,section 1504(b),explicit,1504,b,resolved_section,rej16
162,42360,42377,section 954(d)(3),explicit,954,d.3,resolved_section,rej16
162,42608,42620,section 1237,explicit,1237,,resolved_section,rej16
162,42743,42755,section 1253,explicit,1253,,resolved_section,rej16
162,42830,42841,section 419,explicit,419,,resolved_section,rej16
162,42906,42917,section 404,explicit,404,,resolved_section,rej16
