source_section,span_start,span_end,surface,ref_class,target_section,target_path,status,manual_note,section_part
274,58691,58706,subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,58999,59011,section 4(c),explicit,4,c,resolved_section,resolved cross-reference,notes_or_amendments
274,59090,59101,section 162,explicit,162,,resolved_section,trade or business deduction context,notes_or_amendments
274,59253,59265,section 1114,explicit,1114,,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,59290,59302,section 1141,explicit,1141,,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,59347,59358,section 401,explicit,401,,resolved_section,resolved cross-reference,notes_or_amendments
274,59598,59610,sections 274,explicit,274,,resolved_section,internal section 274 reference,notes_or_amendments
274,59701,59713,sections 274,explicit,274,,resolved_section,internal section 274 reference,notes_or_amendments
274,59981,59998,paragraphs (1)(C),local_structural,274,1.C,needs_structural_resolution,local reference,notes_or_amendments
274,60016,60030,section 179(b),explicit,179,b,resolved_section,resolved cross-reference,notes_or_amendments
274,60089,60101,sections 274,explicit,274,,resolved_section,internal section 274 reference,notes_or_amendments
274,60511,60527,section 11821(b),explicit,11821,b,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,60573,60584,section 45K,explicit,45K,,resolved_section,resolved cross-reference,notes_or_amendments
274,60978,60990,section 1140,explicit,1140,,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,61047,61058,section 401,explicit,401,,resolved_section,resolved cross-reference,notes_or_amendments
274,61202,61213,section 132,explicit,132,,resolved_section,fringe benefit context,notes_or_amendments
274,61234,61246,section 1567,explicit,1567,,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
274,61291,61302,section 132,explicit,132,,resolved_section,fringe benefit context,notes_or_amendments
274,61683,61703,such subsection (d) ,local_structural,274,d,needs_structural_resolution,local reference,notes_or_amendments
274,61970,61985,Subsection (a) ,local_structural,274,a,needs_structural_resolution,local reference,notes_or_amendments
274,61988,61999,section 274,explicit,274,,resolved_section,internal section 274 reference,notes_or_amendments
274,62460,62470,section 74,explicit,74,,resolved_section,resolved cross-reference,notes_or_amendments
274,62525,62536,Clause (i) ,local_structural,274,i,needs_structural_resolution,local reference,notes_or_amendments
274,62749,62761,section 6031,explicit,6031,,resolved_section,resolved cross-reference,notes_or_amendments
274,63106,63118,section 1681,explicit,1681,,unresolved_missing_section,unresolved outside local Title 26 input,notes_or_amendments
